Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
67,217052,bot,81,124293,bot,7,82764,mid,4,80513,mid,64,77927,jg,222,65313,bot,245,63274,jg,61,59503,mid,84,57797,top,114,48901,top,39,46010,top,101,34072,sup,104,26182,jg,99,18364,sup,43,15847,sup
157,132506,mid,104,121848,jg,81,83969,bot,202,70614,bot,236,67777,bot,64,61784,jg,20,54983,jg,122,47483,top,8,39625,mid,43,31971,sup,238,31673,mid,412,31362,sup,58,28827,top,266,24595,top,117,13002,sup
104,213375,jg,64,135695,jg,76,100045,jg,236,99502,bot,81,94344,bot,4,90209,mid,202,71260,bot,126,69153,top,238,45890,mid,157,44949,mid,412,43782,sup,84,39107,top,31,37367,top,25,34314,sup,50,34232,sup
8,199619,mid,39,116517,top,157,104949,mid,64,72912,jg,517,68352,mid,236,67877,bot,145,61954,bot,84,48760,top,81,45288,bot,555,36807,sup,141,36057,jg,91,27696,jg,80,15871,sup,266,14076,top,412,8592,sup
64,92530,jg,875,82954,top,517,77333,mid,39,61721,top,122,60478,top,81,48874,bot,157,44230,mid,53,39838,sup,777,38518,mid,141,37601,jg,11,28785,jg,32,17338,sup,22,15812,bot,555,14930,sup,145,14838,bot
81,396306,bot,110,111433,bot,18,91060,bot,12,58332,sup,3,53932,mid,43,52725,sup,7,49148,mid,54,48478,top,412,48423,sup,17,47555,top,112,47030,mid,2,41993,jg,516,41984,top,35,36206,jg,9,34959,jg
92,205780,top,39,153404,top,517,106404,mid,84,73764,top,64,63962,jg,245,52102,jg,238,50307,mid,157,46485,mid,11,27201,jg,81,25495,bot,67,25070,bot,236,22682,bot,80,6511,sup,53,4882,sup,412,3030,sup
127,230561,mid,68,151004,top,39,133365,top,117,98193,sup,120,96868,jg,126,91862,top,112,87527,mid,4,77896,mid,59,41531,jg,412,33505,sup,245,28715,jg,101,24992,sup,51,20376,bot,18,4434,bot,202,3503,bot
105,154538,mid,412,128415,sup,53,110892,sup,64,101170,jg,81,94113,bot,104,80230,jg,238,79782,mid,245,74465,jg,157,45785,mid,222,42290,bot,145,42217,bot,106,36813,top,223,33385,top,36,31567,top,12,28990,sup
157,277221,mid,64,129123,jg,2,100384,jg,11,83691,jg,111,59548,sup,122,42992,top,875,41182,top,39,31128,top,53,26958,sup,67,25762,bot,555,25528,sup,429,20903,bot,145,20430,bot,238,16373,mid,517,14412,mid
81,117760,bot,105,77121,mid,64,65475,jg,8,65351,mid,412,63413,sup,67,60955,bot,238,59941,mid,245,59810,jg,141,55384,jg,115,46638,bot,99,39000,sup,17,34052,top,53,29863,sup,79,26195,top,54,25063,top
360,184001,bot,523,133175,bot,555,109742,sup,412,96064,sup,81,84773,bot,777,58321,mid,157,41505,mid,203,39798,jg,497,36314,sup,60,32644,jg,517,28975,mid,245,24165,jg,39,11153,top,84,6893,top,164,3807,top
238,283753,mid,81,221181,bot,64,199049,jg,51,124953,bot,38,115841,mid,61,113286,mid,104,108158,jg,236,81799,bot,497,81248,sup,39,59203,top,12,46818,sup,245,44455,jg,126,43339,top,117,35286,sup,92,26367,top
