Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
350,123809,sup,84,25811,top,78,22313,jg,117,21568,sup,8,20943,mid,81,20081,bot,55,17744,mid,22,17402,bot,54,17323,top,38,16549,mid,222,15657,bot,11,13475,jg,111,13270,sup,203,10561,jg,10,6347,top
875,297013,top,777,100908,mid,141,76020,jg,4,38501,mid,157,31729,mid,145,30492,bot,91,30341,jg,84,21085,top,80,19334,sup,58,18656,top,11,17864,jg,360,17333,bot,81,16954,bot,555,2533,sup,526,773,sup
141,174045,jg,50,171370,sup,555,99919,sup,11,76126,jg,238,45344,mid,777,38104,mid,875,35968,top,19,31473,jg,122,29589,top,82,29228,top,236,28828,bot,360,26705,bot,145,22441,bot,103,19849,mid,99,18767,sup
81,34826,bot,54,18599,top,3,18141,mid,45,17078,mid,59,15366,jg,57,15284,sup,98,13922,top,145,13807,bot,32,13556,sup,42,13511,mid,111,13501,sup,126,11506,top,104,10902,jg,51,9652,bot,30,7509,jg
99,193247,sup,518,92163,mid,17,58176,top,350,49358,sup,145,39135,bot,21,33299,bot,147,27077,sup,106,23359,top,22,23297,bot,203,19214,jg,876,16719,jg,103,16066,mid,20,13969,jg,10,13100,top,517,2888,mid
17,102497,top,875,92548,top,54,54285,top,523,38509,bot,81,36148,bot,21,35657,bot,131,26430,jg,235,25218,sup,11,22146,jg,30,21995,jg,12,19733,sup,26,19421,sup,103,10901,mid,4,9850,mid,777,8207,mid
777,80897,mid,157,67033,mid,84,57360,top,238,50110,mid,555,49852,sup,360,46000,bot,20,40752,jg,39,39653,top,245,34196,jg,80,31302,sup,81,31211,bot,99,27340,sup,202,24424,bot,875,18844,top,64,17781,jg
498,130765,bot,523,92532,bot,360,81818,bot,141,46325,jg,203,46110,jg,875,35276,top,412,34952,sup,235,34264,sup,555,34019,sup,106,32143,top,150,29317,top,76,16089,jg,3,12525,mid,777,9972,mid,136,9875,mid
81,114040,bot,145,39053,bot,157,36321,mid,777,31881,mid,236,25142,bot,99,24055,sup,20,24003,jg,64,21993,jg,238,13909,mid,234,11919,jg,98,11154,top,106,10517,top,235,8820,sup,875,8745,top,25,4226,sup
555,124572,sup,157,71824,mid,516,54919,top,141,31299,jg,64,22769,jg,53,19232,sup,122,18368,top,54,16862,top,35,16089,jg,412,13598,sup,238,13222,mid,777,11343,mid,22,10328,bot,222,6931,bot,81,6609,bot
25,166998,sup,117,117888,sup,99,61653,sup,110,37763,bot,21,37684,bot,51,35916,bot,17,32349,top,103,20484,mid,85,19549,top,54,18116,top,61,17501,mid,4,15453,mid,104,14604,jg,20,12337,jg,64,11232,jg
245,239347,jg,236,99854,bot,64,68066,jg,126,58919,top,157,41652,mid,92,36038,top,517,32441,mid,81,32097,bot,166,27863,mid,67,24226,bot,141,22260,jg,266,19683,top,412,15963,sup,80,11925,sup,26,7955,sup
