Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
1,349058,mid,45,137552,mid,16,107815,sup,30,65352,jg,74,57366,top,75,52289,top,63,48953,sup,99,47904,sup,518,47520,mid,20,33244,jg,83,32110,top,29,31394,bot,121,26608,jg,18,19646,bot,67,4775,bot
39,41903,top,432,36168,sup,134,34746,mid,412,28908,sup,82,26580,top,20,25145,jg,202,24860,bot,145,24607,bot,246,23962,mid,84,23401,top,115,21828,bot,89,19222,sup,103,12425,mid,56,11090,jg,60,10050,jg
777,119219,mid,81,60854,bot,10,45640,top,235,41725,sup,82,39098,top,106,35411,top,360,33779,bot,51,32707,bot,102,24170,jg,350,23443,sup,131,22059,jg,412,19560,sup,104,18808,jg,42,17969,mid,13,15547,mid
240,841915,top,24,230312,top,39,174542,top,11,90963,jg,67,66921,bot,120,53487,jg,555,43677,sup,22,30592,bot,28,30351,jg,29,28561,bot,101,23605,sup,157,19135,mid,45,13582,mid,63,10173,sup,517,6515,mid
35,211847,jg,202,146601,bot,82,123110,top,141,102485,jg,51,70621,bot,157,60820,mid,518,57308,mid,99,49341,sup,119,48003,bot,77,44732,jg,75,40343,top,25,38587,sup,86,38050,top,112,35242,mid,32,31541,sup
157,230507,mid,64,132748,jg,61,49686,mid,777,44734,mid,236,32860,bot,120,31716,jg,29,30004,bot,91,29995,jg,39,27989,top,84,24482,top,79,22511,top,81,21528,bot,555,19708,sup,25,11220,sup,117,9550,sup
157,441000,mid,238,138829,mid,777,70484,mid,84,44378,top,141,41368,jg,64,36458,jg,91,29207,jg,98,25261,top,92,24545,top,202,20909,bot,236,14068,bot,555,14039,sup,81,12757,bot,80,10523,sup,99,6510,sup
92,408459,top,98,223218,top,266,122305,top,555,67856,sup,497,65499,sup,131,51841,jg,246,47338,mid,142,45611,mid,236,42773,bot,157,36478,mid,81,27284,bot,526,25490,sup,203,25190,jg,91,25062,jg,145,23152,bot
63,157615,sup,53,110276,sup,50,93353,sup,245,91205,jg,222,65732,bot,21,62018,bot,238,61797,mid,236,47613,bot,86,38299,top,35,35332,jg,6,34338,top,157,31256,mid,45,20973,mid,82,20950,top,62,19406,jg
40,75512,sup,518,45818,mid,99,34351,sup,16,29368,sup,51,18421,bot,90,16497,mid,9,14586,jg,1,13105,mid,21,12091,bot,141,5839,jg,22,4277,bot,420,1926,top,126,1751,top,76,1227,jg,10,1029,top
114,246592,top,55,198294,mid,84,172004,top,39,141271,top,28,96812,jg,99,85303,sup,51,85302,bot,157,82155,mid,145,81180,bot,202,66748,bot,134,63630,mid,131,35970,jg,64,23385,jg,235,21678,sup,555,19198,sup
41,665669,top,31,563918,top,85,81435,top,101,55962,sup,45,53553,mid,56,36597,jg,555,21807,sup,30,14322,jg,91,14300,jg,21,14295,bot,161,13445,sup,13,11634,mid,4,7525,mid,22,5755,bot,29,3701,bot
99,113076,sup,412,106328,sup,141,100147,jg,202,96608,bot,157,94285,mid,119,85184,bot,81,77685,bot,53,75866,sup,62,60984,jg,245,55293,jg,266,45977,top,122,41917,top,82,34917,top,61,33679,mid,4,32490,mid
61,30804,mid,40,29695,sup,235,28732,sup,202,26631,bot,122,26502,top,81,25442,bot,99,24407,sup,157,21908,mid,58,15821,top,64,15749,jg,245,12817,jg,103,12761,mid,114,12625,top,102,11753,jg,51,10426,bot
157,186984,mid,222,161615,bot,238,95538,mid,555,86883,sup,31,66006,top,36,59661,top,875,57980,top,99,56177,sup,517,54163,mid,131,47280,jg,21,46202,bot,80,43596,sup,51,37847,bot,20,35322,jg,59,28051,jg
141,792926,jg,102,216645,jg,89,141090,sup,113,117720,jg,37,114335,sup,875,102268,top,202,76718,bot,92,56757,top,145,49759,bot,50,42445,sup,21,39886,bot,157,38446,mid,31,38125,top,518,35950,mid,246,22319,mid
142,159644,mid,114,143411,top,61,86853,mid,82,54957,top,99,52896,sup,91,40537,jg,122,40448,top,360,30524,bot,3,29130,mid,80,26426,sup,22,19346,bot,131,17208,jg,876,15389,jg,32,14396,sup,21,11686,bot
14,332476,top,58,272110,top,68,179469,top,62,81539,jg,80,75355,sup,81,50438,bot,143,48840,sup,517,45610,mid,50,43064,sup,523,38874,bot,20,31977,jg,22,27446,bot,42,26641,mid,104,25457,jg,112,24712,mid
24,278448,top,11,260756,jg,75,136973,top,62,92072,jg,122,82494,top,141,78180,jg,202,69689,bot,555,68126,sup,81,56362,bot,45,41062,mid,238,35763,mid,157,31786,mid,80,20883,sup,53,17030,sup,67,12664,bot
81,103932,bot,51,56641,bot,18,51526,bot,101,18466,sup,99,15134,sup,63,14074,sup,11,8530,jg,114,8295,top,45,7397,mid,42,7392,mid,24,7297,top,17,5015,top,35,3777,jg,104,2934,jg,7,1976,mid
39,545156,top,62,68512,jg,114,54393,top,875,48112,top,80,25086,sup,517,23838,mid,777,13484,mid,222,12041,bot,22,10904,bot,245,7976,jg,57,7916,sup,13,6296,mid,64,5443,jg,236,5108,bot,25,4728,sup
120,219305,jg,777,167285,mid,24,161666,top,5,149906,jg,63,136720,sup,432,102437,sup,20,78013,jg,23,75006,top,223,44861,top,517,42730,mid,111,36152,sup,103,30621,mid,22,15617,bot,18,5435,bot,523,3718,bot
516,154274,top,122,109970,top,8,63956,mid,150,47900,top,555,40729,sup,81,38695,bot,18,25865,bot,51,22660,bot,53,18232,sup,412,18148,sup,157,16154,mid,20,14868,jg,517,12406,mid,59,11233,jg,78,8516,jg
555,242439,sup,412,157807,sup,12,107979,sup,3,100324,mid,223,93795,top,103,84700,mid,61,74092,mid,266,69131,top,98,51926,top,498,14885,bot,67,12614,bot,141,12507,jg,202,11903,bot,64,9596,jg,234,9084,jg
157,213325,mid,141,172100,jg,64,67698,jg,202,66216,bot,234,63625,jg,238,52420,mid,84,49894,top,122,45210,top,777,44089,mid,81,42165,bot,39,33921,top,412,30388,sup,236,28025,bot,432,27757,sup,555,22494,sup
