Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
19,189238,jg,53,100997,sup,12,88854,sup,33,88451,jg,86,75242,top,28,61219,jg,89,55086,sup,105,41367,mid,58,36933,top,82,31320,top,3,16844,mid,61,10886,mid,67,4303,bot,21,3462,bot,51,2899,bot
412,406820,sup,53,219438,sup,78,185990,jg,12,115474,sup,24,56544,top,11,47982,jg,110,47564,bot,28,45961,jg,81,30315,bot,202,30179,bot,223,27403,top,1,22649,mid,777,19546,mid,39,18145,top,13,13808,mid
67,60618,bot,876,50237,jg,517,38068,mid,122,28450,top,202,26566,bot,246,26017,mid,30,21192,jg,86,20739,top,523,20080,bot,121,19129,jg,84,17729,top,50,17620,sup,80,17085,sup,8,15947,mid,99,14756,sup
350,444033,sup,99,79277,sup,103,49692,mid,21,44563,bot,147,42674,sup,154,18815,jg,74,17428,top,22,13720,bot,420,11985,top,54,9236,top,76,7782,jg,202,4866,bot,518,4472,mid,78,4259,jg,3,3917,mid
89,103858,sup,412,58704,sup,80,38450,sup,3,36136,mid,516,27315,top,4,23052,mid,202,17930,bot,21,16148,bot,51,15066,bot,120,14853,jg,121,13578,jg,142,13174,mid,98,13170,top,54,12848,top,59,10564,jg
141,82849,jg,555,30448,sup,84,28941,top,234,28270,jg,246,24454,mid,19,23077,jg,157,21845,mid,39,21346,top,103,18687,mid,81,16044,bot,114,16030,top,412,14474,sup,22,10771,bot,236,8904,bot,53,6791,sup
523,103432,bot,517,99733,mid,96,73199,bot,236,72963,bot,254,63388,jg,223,44244,top,8,42165,mid,11,38385,jg,103,34533,mid,497,25108,sup,121,20655,jg,84,16508,top,420,15368,top,53,8432,sup,12,5329,sup
145,151519,bot,81,148267,bot,67,103997,bot,69,53286,mid,112,52120,mid,103,44134,mid,203,35363,jg,104,33053,jg,235,32826,sup,121,25544,jg,39,24874,top,101,14536,sup,58,14341,top,43,13121,sup,150,12377,top
412,251817,sup,53,94028,sup,35,60544,jg,76,53502,jg,86,48882,top,101,45798,sup,81,45644,bot,51,41207,bot,126,33297,top,17,32794,top,238,30671,mid,64,29564,jg,22,23998,bot,7,22276,mid,157,12106,mid
67,196732,bot,236,79671,bot,59,61594,jg,78,55768,jg,114,52458,top,202,48971,bot,117,48487,sup,64,45315,jg,43,43827,sup,92,30326,top,12,30093,sup,54,27569,top,127,20371,mid,105,17214,mid,238,16629,mid
112,104994,mid,92,73828,top,91,69803,jg,67,50959,bot,56,29458,jg,131,28873,jg,38,27641,mid,40,25159,sup,202,22522,bot,81,20347,bot,10,19727,top,84,18490,top,42,17263,mid,497,13578,sup,89,7466,sup
234,120667,jg,245,45028,jg,53,23798,sup,64,23155,jg,79,15968,top,126,13819,top,83,11408,top,777,10828,mid,111,8768,sup,711,6242,mid,67,5996,bot,63,4677,sup,517,2931,mid,81,2287,bot,18,2076,bot
20,223917,jg,48,111269,jg,412,76422,sup,53,65808,sup,112,41136,mid,12,36226,sup,54,35001,top,245,22514,jg,36,20558,top,86,10573,top,22,5362,bot,38,4873,mid,202,4817,bot,236,4380,bot,4,3897,mid
412,95175,sup,81,63850,bot,103,36301,mid,51,32346,bot,4,29169,mid,67,26035,bot,111,26019,sup,25,24763,sup,60,20095,jg,8,20023,mid,35,14792,jg,104,7079,jg,31,5491,top,39,4904,top,17,3267,top
222,302715,bot,81,202223,bot,145,171188,bot,105,32664,mid,39,24170,top,245,23767,jg,103,22798,mid,101,18985,sup,157,18664,mid,99,16263,sup,84,15678,top,76,14323,jg,54,14055,top,11,10818,jg,43,10035,sup
154,50900,jg,64,33125,jg,517,31965,mid,777,29711,mid,104,24968,jg,157,18057,mid,114,16700,top,164,14651,top,875,13504,top,145,12208,bot,236,8702,bot,67,7846,bot,412,6628,sup,53,4378,sup,12,4374,sup
412,267226,sup,267,182830,sup,43,53825,sup,17,45001,top,157,35662,mid,64,29132,jg,76,28880,jg,51,20933,bot,115,16924,bot,36,16080,top,67,15951,bot,121,12933,jg,54,12333,top,69,9221,mid,103,5986,mid
34,131173,mid,126,78789,top,41,69887,top,111,47020,sup,8,37106,mid,7,36764,mid,412,31462,sup,39,30626,top,91,29589,jg,96,18547,bot,60,18320,jg,18,17908,bot,81,17768,bot,64,15541,jg,99,13697,sup
238,82757,mid,412,66509,sup,157,55720,mid,81,54533,bot,67,53032,bot,64,48617,jg,222,40639,bot,92,34031,top,7,26753,mid,107,26098,top,91,19166,jg,76,17893,jg,122,15015,top,101,13323,sup,53,12355,sup
