Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
67,215007,bot,55,156043,mid,145,91065,bot,360,77944,bot,157,72392,mid,122,39246,top,23,37719,top,238,35598,mid,75,25919,top,53,23861,sup,141,19562,jg,11,15678,jg,19,12997,jg,89,5781,sup,63,3410,sup
202,168398,bot,22,115864,bot,19,41246,jg,120,40287,jg,145,37655,bot,3,30983,mid,113,21312,jg,86,14551,top,1,13836,mid,45,13486,mid,58,10057,top,80,9576,sup,36,9532,top,44,9203,sup,50,9103,sup
99,392697,sup,16,231465,sup,143,140871,sup,51,103078,bot,222,47789,bot,1,43591,mid,21,37412,bot,103,31501,mid,45,25335,mid,17,25155,top,133,22405,top,75,19217,top,76,17399,jg,9,16940,jg,131,15434,jg
238,155253,mid,6,148669,top,107,76908,top,92,65080,top,78,63437,jg,43,50441,sup,157,48367,mid,11,47155,jg,7,44205,mid,25,40697,sup,59,39348,jg,236,22389,bot,96,19769,bot,51,17450,bot,412,15870,sup
55,295140,mid,202,194756,bot,41,132020,top,35,116634,jg,64,108821,jg,157,74750,mid,236,70275,bot,92,59933,top,13,40643,mid,75,38490,top,81,35966,bot,245,20867,jg,412,19519,sup,555,11660,sup,80,11293,sup
111,269777,sup,201,66677,sup,80,44087,sup,82,33848,top,86,29462,top,36,24922,top,19,14615,jg,2,11545,jg,59,9820,jg,3,8068,mid,4,7347,mid,45,3395,mid,236,2657,bot,15,2039,bot,29,1902,bot
30,306120,jg,17,262846,top,9,250348,jg,111,140594,sup,101,134692,sup,50,132090,sup,90,116064,mid,45,103252,mid,6,95059,top,54,89571,top,142,76960,mid,11,52382,jg,51,43734,bot,115,37462,bot,202,33545,bot
101,176647,sup,91,101420,jg,99,95095,sup,517,65404,mid,17,57642,top,86,56259,top,45,34227,mid,11,33924,jg,31,24691,top,25,21132,sup,157,17260,mid,29,11234,bot,222,10756,bot,22,9291,bot,19,8144,jg
99,227982,sup,89,117923,sup,21,116988,bot,45,107880,mid,11,84829,jg,134,78708,mid,103,74352,mid,6,72948,top,53,60467,sup,18,43996,bot,24,42264,top,39,38987,top,51,36210,bot,64,28728,jg,62,22130,jg
99,98424,sup,202,76992,bot,24,71241,top,51,68634,bot,83,64846,top,63,61475,sup,145,53701,bot,17,47902,top,141,44572,jg,11,42610,jg,235,32073,sup,157,28177,mid,105,24619,mid,30,21143,jg,42,20097,mid
202,400609,bot,51,74456,bot,22,68649,bot,106,61348,top,39,41929,top,266,38188,top,38,35300,mid,3,35022,mid,157,32770,mid,120,30238,jg,56,29899,jg,33,29320,jg,555,13089,sup,89,12311,sup,111,11127,sup
555,305432,sup,45,251806,mid,19,217104,jg,75,174090,top,86,156889,top,141,148170,jg,82,125603,top,202,67957,bot,161,66897,sup,101,60802,sup,102,58108,jg,238,40993,mid,360,17955,bot,157,17169,mid,222,16483,bot
101,399079,sup,14,151806,top,99,111860,sup,119,65164,bot,33,48520,jg,18,45908,bot,103,28642,mid,56,28450,jg,1,27051,mid,22,25751,bot,63,24648,sup,45,24523,mid,11,17028,jg,86,12044,top,24,10395,top
420,223952,top,157,176154,mid,19,109277,jg,102,98987,jg,11,62273,jg,22,43515,bot,86,39375,top,24,38682,top,105,36436,mid,238,30296,mid,53,28963,sup,67,17989,bot,29,16950,bot,44,5711,sup,63,3860,sup
32,31614,sup,21,28971,bot,222,26407,bot,20,25948,jg,36,23934,top,31,23780,top,86,21217,top,29,17956,bot,55,16283,mid,40,15512,sup,19,13461,jg,120,7660,jg,50,6221,sup,45,4262,mid,105,2862,mid
141,115984,jg,102,100717,jg,35,81062,jg,89,62278,sup,246,20405,mid,22,19247,bot,122,17358,top,21,17310,bot,412,12809,sup,99,11520,sup,498,11250,bot,82,10515,top,23,8870,top,45,7687,mid,517,5952,mid
157,140818,mid,141,53384,jg,11,45452,jg,81,40980,bot,45,39417,mid,777,37018,mid,555,30780,sup,86,30399,top,222,28927,bot,99,22805,sup,64,22651,jg,67,22224,bot,17,21889,top,24,15095,top,32,8877,sup
55,253350,mid,11,122169,jg,20,70929,jg,131,54891,jg,84,46851,top,6,29896,top,99,29874,sup,32,29645,sup,105,28849,mid,45,25755,mid,86,19985,top,81,19603,bot,22,14892,bot,18,14103,bot,63,6621,sup
82,355668,top,102,146123,jg,131,133038,jg,55,81895,mid,114,81036,top,92,77174,top,254,58736,jg,127,53751,mid,21,53456,bot,360,47712,bot,246,45272,mid,145,37384,bot,89,20059,sup,80,17655,sup,50,12390,sup
41,322631,top,74,68822,top,420,34218,top,53,27848,sup,555,26100,sup,30,23798,jg,5,22936,jg,157,22532,mid,111,21253,sup,104,18036,jg,4,15058,mid,18,14060,bot,202,12100,bot,81,11705,bot,8,8889,mid
