Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
121,381713,jg,266,116227,top,245,112398,jg,157,102235,mid,8,82367,mid,104,75816,jg,145,61863,bot,412,36242,sup,114,34082,top,236,34064,bot,92,32064,top,99,25849,sup,81,20186,bot,13,14459,mid,80,14303,sup
145,146586,bot,81,110424,bot,202,65629,bot,39,37023,top,84,26858,top,64,25753,jg,13,24492,mid,235,19090,sup,157,17767,mid,24,17526,top,104,11702,jg,63,10541,sup,777,9467,mid,59,8699,jg,26,2227,sup
157,302107,mid,29,265219,bot,81,117650,bot,119,104797,bot,268,85025,mid,245,35050,jg,266,21638,top,64,19713,jg,80,19047,sup,141,17961,jg,13,16280,mid,84,16162,top,111,11909,sup,54,9904,top,412,8874,sup
67,191626,bot,222,95238,bot,99,90950,sup,81,87755,bot,4,75417,mid,164,49793,top,8,40787,mid,103,26445,mid,39,20008,top,10,8980,top,11,5956,jg,56,5556,jg,64,4788,jg,32,4545,sup,89,4397,sup
21,397013,bot,202,307743,bot,145,149614,bot,235,82379,sup,99,47697,sup,555,31805,sup,114,25454,top,39,23180,top,777,18195,mid,10,18045,top,157,15474,mid,11,10112,jg,103,7825,mid,9,7400,jg,876,5945,jg
104,495117,jg,81,154158,bot,517,123305,mid,236,120856,bot,875,103270,top,67,87995,bot,13,87357,mid,157,76688,mid,114,67834,top,86,64703,top,245,60286,jg,91,49251,jg,80,40050,sup,25,25629,sup,63,24251,sup
6,1157463,top,420,97495,top,555,87515,sup,36,60829,top,99,54230,sup,64,47636,jg,110,44393,bot,81,43350,bot,202,40694,bot,154,37845,jg,53,25848,sup,103,17094,mid,142,14822,mid,42,13533,mid,104,12507,jg
157,125794,mid,63,61137,sup,54,44863,top,103,39161,mid,86,31080,top,131,24930,jg,777,21819,mid,84,17364,top,99,17118,sup,51,15906,bot,120,12737,jg,89,11216,sup,67,8730,bot,11,8583,jg,21,5118,bot
106,341591,top,60,312307,jg,126,287377,top,203,70019,jg,517,65335,mid,64,60948,jg,122,55839,top,238,24242,mid,69,19447,mid,50,18356,sup,145,8757,bot,236,6851,bot,67,6277,bot,99,4998,sup,80,4997,sup
34,980278,mid,50,260073,sup,20,121230,jg,777,105216,mid,147,71613,sup,90,55000,mid,101,51710,sup,83,28073,top,115,26873,bot,82,26175,top,420,18711,top,141,9611,jg,427,8943,jg,29,7327,bot,81,4687,bot
161,537135,sup,238,198118,mid,103,138613,mid,101,114788,sup,38,103015,mid,53,96162,sup,86,40458,top,81,30931,bot,115,30380,bot,17,25571,top,39,22302,top,9,15985,jg,254,13972,jg,245,13972,jg,96,8516,bot
142,433256,mid,16,213074,sup,99,182973,sup,518,165424,mid,350,148410,sup,876,143088,jg,145,137063,bot,28,95527,jg,103,88063,mid,17,86694,top,21,61736,bot,51,48545,bot,84,29482,top,78,26633,jg,98,21380,top
8,122616,mid,38,94765,mid,90,76018,mid,82,42853,top,56,20998,jg,30,20754,jg,59,19738,jg,84,18135,top,39,16273,top,25,15836,sup,111,15540,sup,80,14573,sup,67,9983,bot,81,7337,bot,115,6001,bot
234,626657,jg,412,327211,sup,254,266069,jg,57,169658,sup,24,162804,top,111,162343,sup,81,120778,bot,64,118015,jg,202,111150,bot,105,103393,mid,39,94051,top,222,92367,bot,106,69456,top,518,51747,mid,7,23220,mid
34,137616,mid,119,92380,bot,107,57005,top,8,41267,mid,28,40924,jg,69,38780,mid,29,37997,bot,24,35268,top,121,19979,jg,9,18996,jg,81,14977,bot,17,14140,top,99,10881,sup,267,3749,sup,16,2901,sup
350,485399,sup,117,120269,sup,111,110690,sup,14,70856,top,518,20187,mid,106,14294,top,92,11471,top,20,10919,jg,103,7909,mid,21,6951,bot,78,6902,jg,236,5823,bot,81,5643,bot,30,4959,jg,7,4110,mid
238,186686,mid,157,132672,mid,202,108491,bot,75,105692,top,122,99800,top,29,94032,bot,54,75025,top,35,72135,jg,45,68833,mid,16,68380,sup,63,64904,sup,555,61163,sup,119,61082,bot,11,59609,jg,141,51455,jg
81,245728,bot,202,177373,bot,235,125830,sup,145,122358,bot,157,40289,mid,13,31710,mid,84,26975,top,147,26775,sup,74,24195,top,4,21470,mid,82,19764,top,350,16407,sup,104,8278,jg,876,7989,jg,234,7740,jg
