Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
517,74180,mid,39,54079,top,246,53746,mid,245,49117,jg,876,42216,jg,84,40060,top,120,33068,jg,157,28630,mid,164,20922,top,67,20606,bot,236,16220,bot,43,11662,sup,145,8781,bot,80,6415,sup,50,5098,sup
360,40874,bot,145,37062,bot,81,35663,bot,235,31999,sup,777,30137,mid,238,26722,mid,142,15865,mid,875,14269,top,84,11557,top,245,11502,jg,35,11225,jg,516,11160,top,234,9066,jg,99,8546,sup,497,7125,sup
39,59244,top,875,30408,top,234,25229,jg,114,24101,top,523,23572,bot,59,17217,jg,777,17044,mid,61,16398,mid,876,13754,jg,517,12515,mid,81,8205,bot,110,7489,bot,235,3946,sup,99,3457,sup,555,3424,sup
79,147970,top,64,132411,jg,76,109523,jg,14,108441,top,13,98638,mid,112,94233,mid,104,80306,jg,53,69827,sup,238,68598,mid,41,66903,top,236,43336,bot,81,32742,bot,67,30182,bot,80,24657,sup,25,19939,sup
64,232028,jg,412,159218,sup,238,151897,mid,157,151279,mid,236,136457,bot,39,136069,top,67,132229,bot,81,130362,bot,92,91813,top,245,83946,jg,84,80063,top,142,67977,mid,555,52654,sup,76,52550,jg,53,50066,sup
98,157882,top,121,105533,jg,238,84961,mid,28,75273,jg,777,51784,mid,9,42767,jg,80,37902,sup,90,35693,mid,875,35611,top,266,27105,top,236,26765,bot,115,17111,bot,21,12143,bot,412,7242,sup,37,6759,sup
238,232823,mid,64,141507,jg,91,85438,jg,69,81664,mid,412,81630,sup,157,67260,mid,39,60282,top,41,44519,top,17,43961,top,121,43379,jg,81,39510,bot,51,39311,bot,67,36137,bot,53,31516,sup,25,25884,sup
7,981423,mid,127,174482,mid,103,164392,mid,245,160389,jg,121,93362,jg,59,56144,jg,81,43727,bot,67,20168,bot,117,18213,sup,10,16372,top,89,14865,sup,99,14142,sup,222,14036,bot,79,12892,top,54,4230,top
13,113263,mid,81,107984,bot,67,82781,bot,64,71614,jg,110,65359,bot,105,56117,mid,59,55765,jg,238,53037,mid,126,46852,top,412,43659,sup,121,40580,jg,89,30651,sup,164,30317,top,12,29035,sup,84,27240,top
102,301825,jg,236,271846,bot,56,248611,jg,145,236572,bot,64,150527,jg,67,135470,bot,238,101663,mid,432,95112,sup,887,91030,top,157,78800,mid,555,65522,sup,39,57688,top,166,57547,mid,516,53420,top,412,36076,sup
133,797733,top,21,671337,bot,48,473400,jg,122,427275,top,254,330071,jg,115,245410,bot,267,181895,sup,27,163474,top,2,162121,jg,57,95662,sup,22,87125,bot,61,48452,mid,43,41804,sup,42,10068,mid,3,2520,mid
145,69565,bot,81,55546,bot,126,51664,top,202,35303,bot,58,27437,top,104,14053,jg,4,13858,mid,412,12594,sup,85,12448,top,7,10903,mid,53,8642,sup,157,8572,mid,32,8414,sup,64,7184,jg,245,6377,jg
64,175318,jg,11,114331,jg,104,68950,jg,266,60013,top,122,55808,top,777,54264,mid,875,37368,top,517,37134,mid,157,36675,mid,236,19031,bot,80,18010,sup,202,15767,bot,350,12114,sup,81,10757,bot,40,10436,sup
