Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
91,143259,jg,157,137154,mid,64,106952,jg,238,82593,mid,777,66649,mid,141,51996,jg,67,49255,bot,99,30024,sup,360,23706,bot,81,20260,bot,92,9359,top,122,8341,top,84,8116,top,350,7428,sup,63,5750,sup
92,294890,top,64,137566,jg,157,115859,mid,164,59443,top,126,59339,top,67,58706,bot,238,52831,mid,104,45610,jg,76,44519,jg,13,36185,mid,81,33202,bot,236,25866,bot,43,15547,sup,412,12368,sup,25,8133,sup
235,80652,sup,143,73698,sup,99,69143,sup,3,41296,mid,21,26520,bot,45,24690,mid,223,17390,top,711,15894,mid,48,13261,jg,79,11996,top,74,10016,top,22,9102,bot,115,8715,bot,35,7723,jg,163,5733,jg
10,597396,top,82,192332,top,24,171360,top,50,93528,sup,80,33838,sup,11,33029,jg,40,30637,sup,33,19947,jg,22,17227,bot,67,16938,bot,28,15992,jg,45,8214,mid,38,6594,mid,51,5352,bot,1,4776,mid
51,107546,bot,164,94305,top,112,77223,mid,25,76242,sup,555,67558,sup,235,53646,sup,31,52925,top,61,43032,mid,29,42024,bot,4,40692,mid,236,38185,bot,54,34484,top,9,26205,jg,104,18044,jg,60,14376,jg
11,242027,jg,39,226589,top,122,193388,top,10,135679,top,121,100755,jg,145,100483,bot,236,77073,bot,64,53905,jg,202,47799,bot,157,42529,mid,80,34643,sup,57,32626,sup,246,26209,mid,777,22831,mid,235,20180,sup
67,114339,bot,236,72466,bot,81,69830,bot,53,32227,sup,39,30534,top,412,28621,sup,64,28106,jg,157,21261,mid,101,21199,sup,238,14752,mid,55,14207,mid,28,12096,jg,420,11611,top,10,7959,top,104,5600,jg
104,123987,jg,203,113096,jg,107,66593,top,76,61605,jg,81,32242,bot,22,31530,bot,67,28637,bot,235,27702,sup,57,24328,sup,106,20820,top,84,19498,top,117,16039,sup,8,12776,mid,38,11713,mid,69,10146,mid
201,314694,sup,412,141855,sup,43,108836,sup,236,104245,bot,150,91217,top,202,82576,bot,81,67215,bot,98,63694,top,126,54917,top,61,47542,mid,112,32361,mid,103,31508,mid,203,27367,jg,245,25767,jg,104,23617,jg
68,82775,top,103,48222,mid,13,43603,mid,7,29971,mid,245,19333,jg,36,16333,top,48,12829,jg,17,11621,top,16,8315,sup,117,6159,sup,115,4740,bot,20,4067,jg,40,3696,sup,51,3633,bot,18,3451,bot
