Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
113,739636,jg,141,571377,jg,102,469165,jg,15,232839,bot,24,142374,top,81,124915,bot,51,96838,bot,31,64536,top,25,42386,sup,45,40289,mid,42,33140,mid,75,28875,top,235,20882,sup,101,20554,sup,69,9544,mid
55,212859,mid,498,84955,bot,119,84001,bot,141,74704,jg,64,73811,jg,84,64028,top,157,51699,mid,98,50862,top,18,50557,bot,121,47994,jg,412,47416,sup,39,44009,top,4,39269,mid,267,37327,sup,350,36322,sup
6,106571,top,157,104807,mid,35,93203,jg,235,84823,sup,147,65307,sup,22,62288,bot,11,60114,jg,36,59180,top,131,56943,jg,29,51642,bot,202,51216,bot,106,49101,top,55,48613,mid,50,45442,sup,3,30770,mid
119,90469,bot,38,83001,mid,30,43798,jg,29,35546,bot,107,26090,top,15,20659,bot,40,17429,sup,79,15606,top,104,15454,jg,157,14640,mid,76,12634,jg,39,12295,top,37,9769,sup,246,9280,mid,32,4710,sup
141,175344,jg,412,154050,sup,202,116884,bot,555,93193,sup,121,81046,jg,157,72839,mid,20,58807,jg,111,54568,sup,98,53938,top,875,51563,top,86,51460,top,518,49647,mid,238,45239,mid,222,44400,bot,81,40836,bot
157,274960,mid,62,161197,jg,238,102127,mid,266,61170,top,122,35534,top,64,32572,jg,81,25829,bot,11,25589,jg,119,25174,bot,67,22680,bot,10,19523,top,53,14494,sup,555,9920,sup,13,6971,mid,350,6551,sup
64,88111,jg,145,83701,bot,48,78548,jg,555,53262,sup,84,43334,top,18,41317,bot,267,37151,sup,121,37062,jg,24,36155,top,55,31327,mid,106,28505,top,238,26824,mid,360,25070,bot,157,24035,mid,40,19703,sup
145,748699,bot,51,135501,bot,81,119701,bot,62,56438,jg,3,45147,mid,61,39784,mid,111,22654,sup,30,16734,jg,75,16445,top,84,16029,top,92,14808,top,203,12093,jg,101,9176,sup,45,7996,mid,555,7562,sup
157,766932,mid,202,239101,bot,122,235140,top,238,212558,mid,86,207276,top,82,166013,top,119,144640,bot,11,142166,jg,29,98036,bot,63,62785,sup,80,61916,sup,56,50210,jg,45,47509,mid,77,44470,jg,555,37535,sup
412,733460,sup,17,77660,top,81,59130,bot,117,58794,sup,45,56370,mid,19,55914,jg,101,43420,sup,35,42946,jg,18,28418,bot,1,27464,mid,23,23355,top,67,21930,bot,54,21928,top,60,15906,jg,105,13782,mid
