Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
78,437856,jg,350,413006,sup,18,178708,bot,526,108760,sup,222,105018,bot,163,96960,jg,887,84281,top,89,81256,sup,142,58467,mid,518,54145,mid,10,44244,top,113,42476,jg,711,41123,mid,498,31638,bot,150,4422,top
51,117785,bot,22,109334,bot,80,109139,sup,145,76263,bot,235,67729,sup,122,55793,top,106,55780,top,48,51304,jg,777,47598,mid,141,45120,jg,82,35472,top,432,34145,sup,254,31137,jg,1,23019,mid,34,20895,mid
141,193658,jg,50,125980,sup,777,85891,mid,25,61151,sup,8,50541,mid,887,42841,top,360,35312,bot,39,34784,top,157,30383,mid,234,28814,jg,11,25793,jg,15,25763,bot,164,23100,top,555,18023,sup,119,17973,bot
876,250298,jg,36,143555,top,82,114536,top,68,99597,top,517,54604,mid,78,46918,jg,50,44690,sup,57,23122,sup,127,21368,mid,3,18538,mid,43,18533,sup,48,12133,jg,22,6957,bot,51,6755,bot,81,6564,bot
268,166265,mid,79,115745,top,112,109209,mid,13,97453,mid,67,69964,bot,245,60942,jg,89,60619,sup,78,52228,jg,98,50780,top,12,49873,sup,25,40355,sup,110,37887,bot,104,36757,jg,106,36547,top,21,31954,bot
105,140848,mid,85,66672,top,86,65421,top,57,54742,sup,82,53437,top,21,42774,bot,67,38690,bot,51,34469,bot,62,24122,jg,111,15054,sup,3,12871,mid,235,12572,sup,90,9688,mid,20,9006,jg,48,8917,jg
82,56936,top,103,46116,mid,498,40438,bot,517,37772,mid,245,34823,jg,17,32350,top,10,30685,top,105,30457,mid,102,24729,jg,51,23980,bot,236,17634,bot,131,17238,jg,50,10749,sup,43,7781,sup,89,5944,sup
91,75478,jg,18,55638,bot,17,53015,top,64,49026,jg,42,38210,mid,106,33373,top,236,29095,bot,20,29000,jg,53,25796,sup,86,25787,top,157,23182,mid,142,21476,mid,99,17701,sup,350,13562,sup,22,12747,bot
98,65156,top,555,64336,sup,875,64082,top,17,60627,top,90,53065,mid,120,43163,jg,21,41759,bot,11,39686,jg,38,36697,mid,80,34744,sup,51,31812,bot,19,31339,jg,18,28586,bot,53,25859,sup,4,21134,mid
55,117829,mid,234,104424,jg,777,64255,mid,81,60423,bot,51,48180,bot,517,37366,mid,92,34930,top,141,34328,jg,84,30179,top,67,28272,bot,875,26790,top,245,24874,jg,99,7891,sup,25,7803,sup,555,5724,sup
82,319407,top,91,66514,jg,86,62256,top,122,53377,top,555,52134,sup,142,31446,mid,20,28220,jg,101,22934,sup,45,21062,mid,412,20487,sup,157,18953,mid,11,15875,jg,51,14549,bot,119,6650,bot,81,5417,bot
81,54735,bot,150,36206,top,13,34138,mid,67,31825,bot,51,21345,bot,246,17807,mid,84,17680,top,266,16936,top,103,16746,mid,99,13586,sup,245,12727,jg,33,8239,jg,64,7485,jg,63,4052,sup,111,2559,sup
203,94609,jg,101,74849,sup,555,35575,sup,876,29109,jg,80,26844,sup,17,26686,top,18,23333,bot,102,21274,jg,711,18700,mid,84,15184,top,142,14156,mid,115,13881,bot,10,11421,top,518,10885,mid,202,9923,bot
141,253132,jg,11,113386,jg,56,85772,jg,555,83115,sup,202,45529,bot,82,38628,top,518,26912,mid,145,26467,bot,58,25471,top,266,23702,top,235,17681,sup,63,17517,sup,777,17378,mid,517,11587,mid,498,3946,bot
235,320554,sup,89,225021,sup,518,156164,mid,555,99760,sup,21,85814,bot,245,72156,jg,360,43718,bot,145,38498,bot,84,20584,top,131,19375,jg,28,17829,jg,887,16261,top,39,6435,top,45,2657,mid,105,1290,mid
875,101457,top,21,85164,bot,104,35592,jg,234,33436,jg,82,32733,top,516,29227,top,22,28047,bot,350,21822,sup,48,18083,jg,16,12980,sup,1,11053,mid,777,10437,mid,110,9805,bot,25,9605,sup,157,7589,mid
202,124101,bot,777,66589,mid,222,58673,bot,51,54009,bot,141,38669,jg,34,29065,mid,99,19618,sup,98,18720,top,235,17256,sup,75,16672,top,10,13992,top,103,13833,mid,101,12827,sup,203,8135,jg,121,6592,jg
45,278906,mid,22,144166,bot,86,107074,top,8,99634,mid,202,96037,bot,555,94130,sup,266,83810,top,122,72406,top,498,61788,bot,166,57831,mid,203,54392,jg,5,41254,jg,141,39244,jg,16,22011,sup,101,21673,sup
24,106105,top,15,57296,bot,104,47645,jg,516,46756,top,22,38143,bot,99,36784,sup,131,34945,jg,1,32892,mid,67,27923,bot,203,27568,jg,45,27461,mid,31,26797,top,235,6296,sup,89,5477,sup,777,5224,mid
51,133584,bot,67,126050,bot,99,109186,sup,412,107622,sup,222,54918,bot,101,50066,sup,103,37234,mid,7,22862,mid,45,14462,mid,106,5280,top,64,5187,jg,245,5171,jg,74,4842,top,28,4183,jg,82,1730,top
31,142621,top,240,76218,top,75,62103,top,350,25296,sup,67,20021,bot,876,14325,jg,147,14270,sup,117,11517,sup,113,9121,jg,222,9018,bot,78,9017,jg,18,5828,bot,1,5143,mid,142,4228,mid,134,4098,mid
142,301302,mid,99,269256,sup,103,188091,mid,39,147715,top,518,147138,mid,498,119941,bot,267,117701,sup,16,99010,sup,28,89922,jg,21,84387,bot,145,73772,bot,203,48332,jg,131,32703,jg,10,28196,top,84,18338,top
103,117397,mid,246,105778,mid,92,97549,top,99,81810,sup,55,79284,mid,84,57386,top,28,46270,jg,114,42461,top,51,35821,bot,235,34315,sup,360,32394,bot,60,26671,jg,222,26553,bot,89,26548,sup,245,25824,jg
18,85861,bot,202,44013,bot,17,30963,top,62,26644,jg,122,26111,top,51,25703,bot,39,24053,top,25,23586,sup,254,20505,jg,157,16669,mid,120,16197,jg,103,14550,mid,89,14512,sup,16,13395,sup,1,12827,mid
133,54755,top,222,51534,bot,82,50698,top,21,44103,bot,234,36384,jg,11,25360,jg,777,23165,mid,22,22935,bot,147,22159,sup,157,20266,mid,106,19613,top,254,16695,jg,238,15457,mid,50,10617,sup,53,4435,sup
23,348108,top,63,225284,sup,238,211192,mid,17,144142,top,99,143368,sup,122,123238,top,45,114967,mid,555,105425,sup,115,100777,bot,34,81479,mid,21,61255,bot,76,49661,jg,19,35205,jg,9,32264,jg,202,24941,bot
498,781091,bot,202,138266,bot,18,137305,bot,102,114132,jg,518,34625,mid,164,25514,top,235,23963,sup,203,20598,jg,131,20180,jg,350,14342,sup,114,9517,top,99,9248,sup,157,8380,mid,82,6662,top,238,1675,mid
