Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
99,551273,sup,350,212354,sup,25,176129,sup,103,119030,mid,145,94816,bot,142,57509,mid,518,37962,mid,84,33523,top,28,31139,jg,876,22708,jg,21,20553,bot,81,17617,bot,887,12362,top,17,10259,top,245,8929,jg
875,132140,top,141,60807,jg,82,52045,top,19,51426,jg,266,48425,top,202,38683,bot,80,34977,sup,32,32957,sup,4,29797,mid,63,26847,sup,104,26271,jg,518,22174,mid,236,21927,bot,166,19449,mid,81,16866,bot
82,451887,top,875,119156,top,141,115909,jg,122,115012,top,11,97559,jg,101,70948,sup,18,66463,bot,777,21065,mid,19,18279,jg,157,14069,mid,45,10401,mid,350,9036,sup,15,5145,bot,67,5058,bot,235,2792,sup
202,251101,bot,43,176250,sup,145,101184,bot,498,72598,bot,35,72385,jg,235,67025,sup,114,60939,top,104,37925,jg,412,36494,sup,131,34131,jg,157,33342,mid,238,24060,mid,107,22221,top,17,20122,top,13,19239,mid
67,336847,bot,11,283588,jg,157,105080,mid,51,63509,bot,222,61825,bot,54,31338,top,24,26756,top,141,24931,jg,64,24559,jg,75,15268,top,235,9908,sup,518,9554,mid,103,9141,mid,89,8637,sup,99,7978,sup
101,118609,sup,17,81898,top,3,40822,mid,45,38855,mid,103,23624,mid,99,22435,sup,27,18376,top,63,16885,sup,5,16814,jg,96,16191,bot,221,14226,bot,875,11602,top,145,9449,bot,104,7318,jg,20,5693,jg
17,383064,top,41,119442,top,27,69508,top,35,65177,jg,110,49575,bot,81,39600,bot,104,39110,jg,161,34818,sup,63,27662,sup,57,24800,sup,238,23077,mid,30,21720,jg,202,18414,bot,45,13910,mid,518,11386,mid
161,675319,sup,25,512995,sup,21,122508,bot,143,111364,sup,518,99873,mid,134,74041,mid,429,70617,bot,222,61603,bot,133,39431,top,45,31740,mid,17,29942,top,35,10379,jg,9,8628,jg,223,5603,top,19,3787,jg
12,364462,sup,89,74751,sup,111,58602,sup,222,55312,bot,33,29096,jg,3,20127,mid,22,18089,bot,145,16820,bot,17,10853,top,86,8102,top,36,7707,top,72,6899,jg,45,6549,mid,1,6216,mid,203,6175,jg
37,399707,sup,99,207098,sup,131,140387,jg,21,138524,bot,25,130224,sup,133,124795,top,222,116440,bot,55,89563,mid,51,84385,bot,518,66129,mid,103,39310,mid,84,37253,top,11,36810,jg,56,32188,jg,17,29643,top
