Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
119,291777,107,179787,67,39381,121,31419,157,27329
91,188221,126,52856,121,42726,4,38802,64,32215
121,702654,67,347280,81,306201,8,300143,238,249359
238,175518,107,126826,157,119744,75,102811,14,76406
157,477648,238,193986,236,157219,39,133986,104,96281
145,96768,67,83004,236,55778,51,45746,84,37273
25,91149,45,87836,84,78565,147,68256,99,62980
122,323476,14,232723,39,147815,266,117657,86,78746
28,62059,55,60853,101,35139,81,32136,29,31886
19,757731,120,193295,154,159851,134,138186,142,104364
163,269337,246,209850,84,177561,69,122741,166,46124
246,501987,103,337970,99,291803,876,188709,147,172552
164,92222,114,44289,51,30745,34,29147,80,24250
92,112347,104,86482,777,80711,114,62990,164,57805
143,291719,235,107820,99,96923,350,80092,432,77620
7,216592,61,37085,245,33530,84,33005,103,30845
92,111550,84,34876,8,31743,157,25620,145,23945
122,201953,8,145633,777,81591,112,49254,104,36211
82,160229,86,142293,24,127789,555,111711,99,105752
777,293651,107,101602,81,73405,236,45139,238,39704
235,728064,99,139600,16,137888,518,98728,25,98131
81,247105,41,186566,238,185531,64,162306,110,158115
64,405670,104,172883,76,120405,60,113616,203,86848
121,453361,11,287630,254,139643,64,132545,54,129399
246,101851,105,89543,67,74375,114,69912,104,60258
92,153340,119,125922,157,114800,51,88147,122,75804
106,187276,77,58700,64,53791,523,41018,266,39179
267,212178,117,205515,350,196022,16,132833,39,131047
412,205578,555,190211,51,124790,111,70700,145,55161
81,479764,157,324709,145,248512,202,211536,67,169316
555,297117,157,266988,29,233262,141,185251,202,128509
145,123546,81,74515,104,71707,245,51947,114,50530
17,150432,6,150049,10,139290,32,137597,122,114039
37,1008747,350,834202,21,205977,147,160299,111,87337
33,642560,28,609315,154,56234,24,46626,121,27446
777,81309,517,50576,235,50251,104,47345,7,42340
21,396701,202,307743,145,149614,360,133012,523,132216
102,248814,24,192800,141,166063,64,79378,81,77672
69,147611,13,97898,122,64897,27,59736,45,51190
235,46874,432,38590,246,37502,18,34762,99,34760
103,188939,245,126922,75,108382,67,100367,99,94573
202,124672,157,104420,236,85958,119,73116,81,62062
85,170559,8,112529,157,61113,63,43844,202,40891
16,257817,350,190817,99,176357,145,160360,51,139056
51,242864,21,106423,235,84095,81,76487,119,72488
92,254826,76,85706,246,83017,145,71404,29,67106
106,222451,80,99651,223,92991,777,75039,122,70499
119,67798,350,58071,24,49671,157,46646,164,42609
143,57648,89,56678,350,34370,54,27237,63,26628
85,555387,68,410069,517,345123,3,96113,875,80180
99,306593,117,305242,16,275259,267,248341,350,223302
103,116791,91,85256,134,65266,25,55136,518,43242
517,188443,141,152536,112,147067,412,90980,234,88040
39,260657,99,188080,22,147700,350,144672,17,136854
17,2667528,86,66961,107,34611,54,27162,75,26952
266,250865,246,215353,11,210999,157,176054,121,158513
555,173969,39,59092,141,57970,104,49215,517,47377
350,164129,497,150262,99,106846,143,88475,267,71066
555,526787,202,257893,51,153888,145,136861,235,129659
122,166125,420,120776,58,85580,82,78496,875,52981
24,337618,20,106911,141,89708,81,61006,238,58332
350,485399,117,120269,111,110690,99,92411,89,81910
26,130292,16,71106,25,31645,43,26961,40,21183
523,337736,164,283137,266,222701,202,169048,203,147918
86,187032,122,107608,164,79434,24,77949,150,68578
79,186036,35,84681,107,42396,40,35372,20,30061
8,179034,131,72890,157,60388,523,56703,29,54040
555,358597,101,128483,25,96470,16,86543,99,78386
45,196077,222,73346,157,71035,104,63047,114,62581
29,180334,104,137448,121,110194,350,62591,141,49656
121,202613,267,116166,99,101423,64,99110,145,53128
13,86400,8,74547,266,66752,3,66630,126,66296
350,497017,267,289185,16,203642,117,125868,99,114146
122,50928,86,38014,13,34567,54,29937,126,27735
157,298475,122,88475,51,79731,9,75569,80,63366
121,218737,164,146666,412,123322,875,104179,142,90121
238,423363,8,391529,13,324269,11,322116,157,265440
202,179175,21,170731,142,153161,22,146183,61,104877
64,188374,875,111335,7,92982,105,78695,62,57132
202,842734,145,491235,67,451775,222,328339,18,319460
103,555459,99,346264,37,248570,16,220402,350,155579
28,1266537,21,77831,60,77501,37,68389,99,26188
14,133414,238,118731,84,115766,122,110708,516,109835
120,162534,20,160923,69,131413,141,89400,30,85781
875,563584,58,306992,266,246800,157,197219,107,191761
98,1504739,23,380309,11,114492,86,60546,103,58634
876,154688,81,131123,22,117735,21,112074,203,105342
8,134456,50,105267,104,82270,85,63380,79,62044
41,71993,96,64316,202,36564,236,27193,38,23366
91,165956,104,142156,121,132465,39,81892,245,80482
39,969578,145,649109,114,123854,22,122163,222,71722
74,720095,267,564758,35,166488,37,155997,81,147696
8,625644,164,317534,266,306729,114,130565,157,114649
16,456407,117,354621,350,272999,25,156718,99,149375
43,165880,267,128649,145,111241,99,101966,103,93142
254,138185,76,126687,60,111954,141,97356,121,77370
105,728051,84,194813,516,99828,887,87513,85,77968
14,684562,875,223476,412,107931,154,96467,421,67308
55,591130,8,270653,202,178780,412,124281,29,107388
350,821424,555,277995,84,186861,235,108071,245,74039
117,266500,43,264290,25,251760,40,191392,267,182462
164,68066,10,58287,84,50919,875,49354,39,33292
222,509509,51,73994,202,43738,236,32904,18,23721
92,255283,114,106274,164,87443,121,86674,27,79887
107,70252,38,50048,777,25119,23,25013,121,23170
41,264444,24,182140,122,52302,8,38354,69,31234
