Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
523,187044,40,120565,20,65294,21,57095,202,49135
105,107695,8,102744,91,97521,121,80560,141,61389
876,250298,36,143555,82,114536,68,99597,875,71287
145,55676,360,47800,11,32749,166,32584,22,27985
236,206484,22,159569,202,93964,48,62224,222,57939
245,158794,43,78446,157,66493,163,47337,26,47189
53,53315,154,27620,523,26296,104,25790,412,25385
16,369666,117,84221,147,49896,45,44527,350,40638
25,81523,17,77907,43,72089,99,43790,498,38754
1,124674,11,107884,17,59566,103,51090,45,36872
16,155761,267,74271,117,52559,40,49958,876,40484
75,183043,84,158379,86,81184,39,79213,141,68470
127,133333,63,42292,8,40645,51,38615,22,33330
54,138403,11,58006,10,54472,145,54422,17,53266
19,158229,154,107221,120,90406,32,67554,33,44792
234,43865,84,40953,157,40150,110,28222,91,24528
157,116200,141,97538,145,88541,119,69975,39,69066
235,251760,350,144705,115,93025,110,75765,22,72444
10,846937,25,148448,17,136652,45,84591,99,71068
120,224293,102,162703,5,51851,86,37066,17,23692
143,225455,142,112158,235,59988,63,43768,26,43222
145,1055090,29,217184,5,182109,32,109642,22,87124
777,164849,157,111776,11,66894,238,49304,875,22454
20,214989,63,150810,25,131847,11,60902,45,48239
121,80246,555,65980,141,34821,56,32522,39,28670
106,99065,19,94677,32,47717,48,46630,104,37271
141,162213,876,81959,103,67703,120,44991,56,36034
81,71851,105,55879,53,42624,99,37917,76,33472
86,127666,77,125340,54,65914,36,54167,75,42200
51,39978,99,35411,21,33926,518,29502,98,24848
4,206769,141,56384,427,56237,59,47233,41,44976
555,280802,106,145062,17,106754,142,88732,89,78859
412,103022,111,40584,53,38556,12,32870,25,30618
141,87514,75,63990,202,62465,121,42570,31,40313
555,137977,50,94254,3,93847,111,76079,497,53179
20,117955,141,68083,45,49514,18,42606,17,36520
55,124354,81,114551,67,110897,202,78191,91,76162
67,123271,875,58617,1,52525,254,39761,141,29589
99,110876,19,107511,53,72545,267,69760,518,31669
23,196142,82,115105,58,101913,86,76644,25,64177
145,162406,81,158403,51,154391,498,135974,22,68333
82,94338,20,82971,63,81520,202,70103,22,43900
64,233357,238,120040,39,100624,246,89204,145,84837
99,100021,101,48165,555,28210,254,25303,110,24298
235,124130,17,69692,101,49852,18,31927,54,31588
24,59909,17,47829,54,41043,25,37173,22,25062
16,204376,518,162399,25,161684,37,103665,350,82399
202,149882,517,122782,83,114214,420,113848,82,68540
29,102237,777,93874,876,68668,157,68285,266,49067
101,100520,80,50069,111,45446,555,32362,45,30876
51,176582,22,166687,133,121131,143,100635,21,65721
555,131429,80,47540,53,42568,99,38966,103,37686
122,370585,17,238753,74,179732,77,119079,80,110021
26,109946,50,106397,412,103485,6,89995,25,76496
99,190669,245,129861,202,54436,54,51282,81,47582
157,140527,254,111996,84,111153,51,95471,41,61738
83,111833,98,68263,245,61741,22,53372,62,50778
6,64529,121,43791,114,40174,141,27367,24,26005
40,44369,143,37182,33,34467,10,31858,267,24058
266,40559,777,37293,17,32584,84,28780,555,25626
62,90506,82,56687,14,47015,19,31329,240,29265
143,212421,1,159131,136,107101,25,73297,142,68750
267,103208,8,80657,32,56906,103,37619,86,29256
427,377358,74,72240,154,60233,120,53074,20,52870
202,176590,157,63392,412,54551,67,54420,555,49735
28,144542,107,141235,105,130658,154,100039,60,89244
157,320786,84,71377,238,58592,39,27778,8,25512
141,196594,11,93628,24,85329,18,47661,86,40458
13,195784,1,177220,245,91572,61,52947,518,50332
11,183116,875,175055,157,120600,777,116465,51,78637
202,147517,110,89268,22,69212,50,49773,45,31007
141,123416,21,89002,84,83890,45,59891,246,48284
84,150423,19,142077,28,79724,1,41843,31,40661
133,100717,111,91619,11,85134,17,56224,25,48965
103,185344,84,87308,266,85358,245,72454,145,70221
84,132700,55,73733,222,48778,142,37559,64,35883
157,141486,234,73362,60,64086,91,54691,67,48967
51,179000,29,152955,13,113827,91,91710,5,73979
497,141031,3,124583,44,89521,111,80893,89,76732
498,86356,518,64186,497,47808,202,42681,20,41205
141,364937,202,121571,555,105619,360,91210,22,57129
84,187782,75,101203,875,83433,35,73184,202,61711
157,278455,145,236159,15,145959,103,131319,51,118139
99,121104,51,74456,21,54964,106,44477,141,37899
84,209418,77,119356,157,107770,141,80337,245,39761
67,354384,22,129652,222,110678,235,85002,147,82909
19,184088,86,94320,45,45714,555,44280,105,34791
