Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
64,645202,81,452969,126,314203,51,296479,61,213973
81,208489,67,164513,202,158437,236,143418,51,102672
145,51051,360,50614,81,42403,350,34663,157,33337
86,408713,122,292275,11,196519,106,163377,54,151215
142,239692,517,134022,157,129493,64,115053,412,101258
81,135604,64,119309,92,115572,145,94887,67,85718
238,143021,81,71562,120,68602,145,64793,67,64439
105,147656,64,114735,84,105644,39,101040,67,92851
23,187874,11,121214,81,80473,21,73573,51,69520
81,63394,412,52195,101,50029,236,49279,4,34532
236,64991,81,63893,555,54492,101,53997,203,51872
412,949552,67,372231,64,265935,36,168004,98,143161
360,165652,266,72086,202,67643,498,67403,82,63699
39,99803,523,66615,84,57022,157,51083,498,29524
35,442926,8,130463,50,77461,26,49670,141,35326
8,57989,266,32557,126,25742,875,24861,245,21032
238,84205,555,29517,84,24234,157,23436,91,21076
81,240684,64,176378,412,148746,67,148111,157,132973
30,77963,115,61850,36,26604,41,24106,12,22207
412,28554,16,25327,22,22857,81,21484,235,21138
154,399946,81,153435,412,88207,89,83131,53,72658
81,190977,67,137616,236,130904,64,127725,145,123912
24,238159,8,137492,59,104390,80,92038,120,72412
29,181316,17,92138,222,46720,145,46057,96,27693
145,319597,81,264750,7,166392,51,148443,412,137171
41,337070,67,145941,266,93953,51,86852,222,63470
122,195163,91,52069,86,49368,202,45641,498,42182
245,195551,20,51081,113,44566,12,43257,203,31528
69,139074,238,115565,157,102057,34,99637,2,98355
8,497018,58,82310,150,74496,516,57537,110,49487
157,132392,104,121848,81,83480,202,70614,236,67576
238,283753,81,221181,64,198804,51,124953,38,115841
67,331426,81,328425,236,235708,157,224737,22,212343
121,225180,254,144167,876,113506,90,34497,238,31579
245,276222,39,114661,517,65681,157,49477,234,41518
67,179259,81,102967,101,94316,157,93404,238,89597
412,167960,64,142789,236,138683,157,133846,76,114860
517,85508,13,46247,39,45340,80,39255,103,39226
412,629350,64,258251,67,218809,201,114594,236,85271
236,88961,145,71276,67,62027,26,61963,15,29000
25,140565,81,72703,222,68247,21,66599,412,65248
154,86822,254,86326,102,72760,11,72035,141,67408
53,84219,122,76408,24,59853,64,55383,157,53633
22,239181,21,153194,74,58069,99,36091,1,32863
58,1488289,16,399917,86,376215,17,206082,267,111704
89,59158,111,43016,147,26906,80,24645,245,21378
157,171344,114,163445,133,155810,240,125251,154,121659
64,191317,412,114517,12,104059,236,92654,238,92349
16,313852,54,160049,3,85980,36,72417,5,40511
157,150793,55,114075,67,112454,64,111921,122,90988
268,232489,112,111446,7,86336,80,58224,142,44236
81,95605,222,86096,145,84979,21,76571,360,66167
114,993387,21,673806,122,490099,420,359784,131,316931
26,79923,43,55952,360,45311,245,35045,236,33417
81,100091,145,89575,360,36282,202,31197,22,27693
17,115579,34,50052,26,41081,64,39937,69,38621
53,228924,412,157126,117,122203,202,117176,497,99478
67,240899,53,111651,412,92012,84,83841,222,72388
412,92415,777,57237,555,49058,516,44800,4,40603
54,64348,67,54843,7,54461,412,51194,223,48309
517,77135,245,54689,38,47875,104,38352,141,30774
126,370958,58,228404,236,78716,98,55222,59,40072
64,92632,157,88429,80,87365,99,80224,24,79670
119,112016,777,90394,122,82251,8,51243,145,33374
112,77800,517,37146,79,33503,143,31432,875,30302
67,76441,64,62223,412,59057,81,50849,164,45611
10,301770,102,92894,114,36330,32,31399,75,22192
235,113451,154,101896,412,61809,22,27054,25,26316
412,235030,53,66100,222,40239,238,34747,157,31300
105,578431,145,59823,20,56151,22,28328,360,24970
64,180613,32,153768,67,145859,35,140798,104,131721
64,279442,76,123936,104,115957,81,96158,67,87388
