Champion1,Champion2,Champion3,Champion4,Champion5
107,32,120,11,1
99,161,28,45,84
28,35,114,19,10
238,81,157,103,18
21,777,99,517,222
222,145,67,64,202
45,161,202,99,79
99,235,11,113,63
82,104,78,68,245
154,8,29,35,412
516,12,33,99,6
412,81,25,89,53
11,102,36,45,19
141,84,875,498,234
80,81,54,64,23
11,86,23,75,54
432,222,555,412,235
157,28,64,238,84
14,6,86,19,101
157,55,99,134,498
51,22,222,81,18
17,412,141,432,57
245,91,131,141,39
45,32,24,20,25
157,245,101,105,517
141,121,555,19,222
157,39,24,91,69
157,875,777,82,17
84,99,45,58,101
157,11,91,44,45
50,18,875,86,114
86,875,350,516,50
157,238,777,555,875
141,234,4,121,266
83,2,6,27,23
83,86,6,17,103
16,99,37,350,117
37,89,25,147,99
11,157,86,98,24
99,25,143,235,161
412,89,236,117,107
122,19,64,106,157
161,143,15,154,43
238,157,19,82,64
99,498,16,117,222
157,92,238,64,99
142,202,22,245,28
20,16,555,142,350
157,91,64,114,122
121,28,2,104,11
51,119,222,145,81
133,202,19,9,10
89,111,25,99,412
99,235,22,81,103
122,64,99,79,86
119,150,98,31,32
99,28,16,21,127
266,83,119,120,110
141,24,777,84,555
119,157,114,131,81
86,77,11,145,75
67,238,1,777,157
84,246,157,91,53
157,11,24,203,141
157,235,202,875,360
121,81,498,245,67
81,145,21,22,15
16,157,518,497,412
86,17,45,89,11
202,14,29,19,22
11,84,141,17,81
164,8,143,3,523
29,24,21,39,67
99,61,25,518,267
12,53,25,45,58
154,101,29,31,555
157,238,11,122,64
222,43,78,63,24
517,8,202,41,51
157,238,11,555,35
17,157,141,238,67
77,16,222,89,19
412,92,150,64,122
105,142,141,238,35
157,42,245,134,10
45,80,157,32,36
86,92,25,53,222
98,107,11,201,141
90,161,134,498,30
157,67,64,92,236
55,92,8,238,39
89,28,412,111,14
157,55,222,21,8
81,59,84,498,145
28,245,555,121,99
238,141,104,64,120
23,56,5,48,119
99,202,412,51,432
141,84,121,245,107
238,157,84,39,64
23,157,86,55,11
21,48,32,56,67
99,222,267,498,21
36,75,24,82,80
51,67,81,412,22
45,122,202,11,75
15,86,420,114,103
105,81,29,54,79
31,157,33,23,32
240,38,90,75,45
25,63,21,110,106
101,157,11,19,238
32,10,54,31,17
67,51,145,78,222
141,29,82,25,63
7,236,81,13,202
105,131,86,24,518
497,86,81,98,201
119,412,86,157,11
157,32,202,45,412
92,11,122,875,24
555,31,222,202,99
157,77,75,92,99
11,157,5,24,238
99,25,518,43,267
7,103,99,64,54
53,91,412,86,777
19,202,360,99,245
22,35,18,17,29
110,115,222,202,145
202,27,119,236,81
99,19,80,555,53
157,161,246,141,86
19,96,122,164,420
114,245,6,122,84
202,82,35,51,268
497,37,117,267,89
246,45,203,432,105
57,34,50,111,90
54,99,9,78,104
41,164,203,39,67
51,81,202,235,21
67,360,11,28,142
134,105,12,38,131
157,55,238,67,24
497,238,518,103,22
53,45,99,555,74
36,81,39,106,887
157,32,875,99,3
114,67,157,145,51
157,55,64,412,432
86,105,122,29,82
86,11,119,429,131
35,50,111,83,86
67,498,145,497,86
122,555,141,119,29
41,150,83,10,266
64,238,157,222,202
22,51,9,63,105
22,17,222,142,39
64,55,24,875,92
145,157,67,13,202
157,17,145,55,99
25,121,67,497,131
412,8,90,32,75
11,29,80,164,266
141,254,35,154,245
15,145,163,202,102
99,142,518,497,238
246,360,235,887,876
3,122,82,24,105
17,23,122,24,67
54,202,111,82,89
238,157,64,412,99
14,35,54,83,143
157,45,235,19,777
53,497,45,432,25
412,53,131,16,350
121,34,60,64,41
34,432,81,201,238
157,13,61,202,8
432,202,35,39,67
154,106,80,150,711
67,81,51,236,145
25,99,43,201,412
875,497,44,98,12
157,24,11,141,21
412,53,64,555,81
54,12,101,412,24
86,101,58,1,31
99,90,45,101,134
16,350,30,497,147
555,56,157,222,121
157,238,202,81,35
236,21,145,17,18
202,22,145,110,51
24,157,39,105,104
55,157,25,161,38
17,99,133,22,412
25,99,81,134,89
69,83,35,32,121
91,30,17,111,6
85,876,122,64,7
145,51,67,222,202
5,120,19,54,17
131,45,6,142,18
157,238,114,64,29
119,202,75,23,122
145,105,236,45,99
67,157,238,64,29
17,81,145,82,86
518,103,99,25,61
202,105,81,142,51
412,25,19,111,202
89,103,25,91,19
99,53,202,81,238
56,104,38,57,121
157,75,238,11,84
268,69,64,2,7
412,555,64,141,5
98,497,142,4,81
24,57,12,32,31
1,157,102,45,18
53,17,35,555,81
23,875,235,86,202
157,141,131,45,236
59,39,2,86,102
18,202,145,157,222
157,92,55,412,202
157,64,238,777,412
234,497,141,236,122
157,107,245,141,35
145,99,202,22,21
121,23,238,86,58
268,24,55,45,39
157,141,11,91,238
412,157,53,777,50
117,133,20,111,92
157,777,19,101,17
99,50,53,74,28
14,223,266,96,20
17,29,45,41,11
11,157,107,67,24
360,67,21,81,202
202,21,99,39,516
28,39,34,120,238
64,24,48,59,25
238,21,56,32,254
55,202,2,7,238
107,91,238,92,55
99,497,25,84,16
37,99,16,267,143
163,142,412,497,555
245,91,254,28,24
134,91,112,38,61
35,157,105,121,555
157,145,238,8,84
143,99,89,43,350
50,126,24,91,19
67,498,81,18,202
11,23,350,24,5
157,17,202,45,119
202,45,51,99,34
12,98,266,201,122
21,145,40,103,99
114,59,86,91,11
55,91,29,246,238
69,114,161,157,17
84,134,147,61,131
498,22,18,110,51
166,202,81,11,102
412,121,555,427,267
104,120,2,56,48
79,14,74,75,41
22,21,267,50,28
99,86,18,145,19
157,777,39,236,55
