Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
236,186199,55,183757,7,96332,105,88565,238,71703
32,86845,24,65717,120,54657,64,47337,141,41262
28,522138,9,300932,154,242911,875,151671,21,73139
555,842762,497,142169,61,72540,25,53025,134,35504
412,88723,107,56056,35,37309,29,35825,555,30445
51,154424,126,153271,22,64842,202,63132,81,57255
157,269707,517,225448,145,191224,131,185910,245,128960
55,504895,141,40009,120,33792,34,30902,24,28229
84,441054,131,190344,254,64707,113,61937,143,52309
35,211847,202,146601,82,122935,141,102485,51,70621
39,147299,92,84089,91,76222,23,61831,61,44414
103,260254,99,153702,51,126872,518,121760,222,109398
157,653618,91,154520,84,120546,777,99867,238,84769
875,118162,350,101479,202,96310,21,75906,99,73615
8,524675,164,161838,266,152263,157,141363,79,125095
103,190718,64,130154,79,104042,81,100822,412,75534
27,270185,14,235879,350,115655,161,93393,96,92193
80,1073822,99,267030,74,182632,161,70208,3,69698
86,174829,63,125761,131,85274,17,64865,111,52128
555,368382,119,285960,1,133563,202,72188,29,69793
777,144260,86,135287,39,122914,875,106237,82,80190
81,185768,28,117206,145,98602,21,95236,498,94160
555,138373,412,105031,53,76106,432,55851,99,48555
24,87425,240,70037,8,49528,266,49091,81,47267
41,665012,31,563918,85,81435,6,66788,36,61794
103,997119,498,295079,202,282350,518,143385,21,126728
40,381640,15,183438,150,120423,67,64257,51,56617
238,307838,81,51406,51,39614,119,36690,145,23563
32,92010,53,82069,75,64080,350,57030,36,56601
157,389673,777,319027,234,197996,141,193876,523,108818
7,69568,17,67340,51,56608,15,49199,78,41476
517,781201,11,235716,157,185641,238,143625,64,102510
238,337282,246,165587,517,155483,84,114056,53,62995
64,247859,876,144536,19,131266,412,130671,238,101371
350,474979,142,214502,45,110398,103,85077,518,82992
107,314366,82,215944,22,211659,31,170393,96,113252
245,341089,246,264136,517,189464,875,179186,81,73192
81,51721,59,44701,51,34371,236,30478,64,30380
523,326254,222,215165,202,181852,141,159492,236,130232
164,59278,39,44468,14,44417,64,43735,84,42834
17,353203,111,124473,63,58401,86,47376,267,42593
81,155655,236,112147,145,108163,498,102299,51,78102
90,153676,111,63838,25,59570,99,50090,63,38372
6,846109,54,252846,518,204225,17,143536,57,112280
