Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
412,106046,22,82707,40,78233,3,72889,267,58376
526,180359,43,122334,44,117484,555,91246,89,85571
238,295459,39,153031,145,84473,246,44170,245,41882
350,114198,235,95590,25,60350,37,49046,99,45624
145,387933,81,322053,236,128737,22,106543,53,69488
145,351646,81,222453,67,210315,360,193658,164,147456
141,59829,120,49971,266,43772,164,41712,8,40881
245,207265,555,133576,60,129620,203,122621,104,119813
81,95783,53,65360,412,50438,25,49702,111,47894
5,62491,254,59778,203,43679,141,39222,28,28606
875,201833,122,152456,104,105358,114,103795,266,98534
69,719519,517,391124,134,323014,161,276838,142,170415
81,108408,114,77304,5,37720,31,33865,420,26882
114,74186,266,72988,104,61442,777,54557,24,41793
114,941186,887,196499,875,173705,164,160375,39,107706
104,252551,107,119784,119,118873,202,62070,412,59350
145,40236,81,34194,236,33964,202,31288,222,24123
64,755236,412,213162,53,53360,59,31824,5,31189
110,284559,12,209978,86,181166,48,143393,101,128944
42,94054,234,52621,64,51369,104,50262,112,48178
266,454178,82,327642,58,319103,875,241733,80,220923
350,131609,412,119085,117,108470,16,95282,101,91157
60,73458,76,51019,2,50866,81,48716,141,46198
412,173677,104,144408,157,140444,51,108991,127,105828
145,99210,222,82161,114,75463,82,72751,105,69955
122,46437,64,43831,104,36180,24,34614,58,33354
350,389603,89,239564,145,222518,117,215544,99,211218
164,39395,245,31212,517,31161,81,31029,104,28433
117,831871,16,271692,267,146391,350,97386,89,84236
44,291205,117,253996,157,39443,412,31435,67,28398
10,56257,777,46261,164,41111,39,29458,62,24134
81,104126,36,79990,115,57639,104,36208,45,35568
6,327061,875,197309,86,113621,31,101253,79,78402
432,54873,39,43966,412,40989,55,34381,497,29942
876,195707,234,171272,104,47258,107,35436,120,33485
119,152258,238,131693,64,130388,203,81888,76,76786
432,112387,34,44974,30,30457,235,30134,427,29903
81,63228,96,59980,67,53298,235,36871,145,27328
134,894481,7,651149,350,177483,22,133585,150,90035
8,97690,24,88918,875,82738,82,58469,114,43771
82,189432,34,147767,517,113890,555,33277,131,30159
777,99290,141,53533,234,47311,145,41914,76,38403
13,60119,81,45960,145,44715,42,43524,7,42449
56,1320198,59,43618,111,31663,104,27551,113,22563
29,106767,121,56907,28,37705,104,26147,107,24655
421,609476,104,171854,76,94922,121,79646,120,60911
421,67705,64,50097,106,44490,76,39768,60,36660
4,169632,39,117529,81,80415,142,79946,61,77789
8,168496,10,151438,141,75195,29,63434,23,45326
266,472648,82,378763,875,223741,887,83990,517,59632
777,120695,23,102830,84,73868,4,57910,166,56302
104,91157,122,52531,64,52520,13,51329,266,47284
86,172408,23,167557,24,163240,2,161561,98,100536
68,594985,266,96011,517,58893,13,38313,164,38075
412,253542,64,147170,164,59335,266,44504,60,43893
55,75112,122,72853,777,70923,875,39592,245,36651
99,32971,202,27185,22,26232,875,24916,412,23479
81,198673,202,171833,236,148671,523,129711,119,121745
235,71073,85,63476,131,57907,42,30989,79,29602
523,50394,498,32416,51,32375,236,28985,202,28435
222,142712,51,115334,40,112767,99,93026,81,92495
43,147095,432,145882,147,105397,235,92986,497,57138
203,310867,76,167964,104,159968,64,117334,876,64664
29,88047,96,74167,145,63973,245,25439,22,22116
90,741460,8,276795,38,175507,3,170987,45,111386
67,261301,119,252873,104,106663,30,32545,120,28873
34,472252,38,310216,64,160849,107,126950,157,126882
79,133020,43,101305,432,93270,127,85314,161,61543
145,581905,67,445475,236,276337,10,127182,18,96725
526,298535,78,133852,203,128343,221,125910,518,92463
79,1364301,53,76388,41,72286,3,65811,81,55218
26,527396,412,67686,25,58961,350,56831,555,52491
517,290494,104,119731,64,118690,122,101128,91,85101
117,142399,89,121933,57,91660,267,84252,99,60674
412,268381,25,68231,67,39293,117,32239,89,25881
875,153047,254,110764,420,102566,5,101234,24,91832
79,44899,107,33862,30,27504,64,26217,59,25512
67,1394487,119,702059,81,348921,236,321295,51,157860
67,83824,55,81146,29,35771,246,35066,38,34568
78,94869,141,86222,20,55714,48,53833,876,52518
267,231968,16,187134,555,173946,40,160234,526,146975
236,56720,145,52017,81,49430,202,42983,142,42910
120,365557,91,343500,30,311732,82,235779,141,148842
222,216720,81,156255,147,151748,145,110578,131,96608
121,225037,240,200459,266,168737,64,148397,76,134504
99,68030,350,55543,43,36828,40,28795,16,26422
350,1687936,16,317355,25,301571,117,292412,111,220046
68,586110,3,249964,61,138423,4,87996,79,71641
164,385989,875,133956,266,80565,238,71030,122,62208
266,302574,122,82223,67,69826,81,48325,164,45290
6,513611,122,271940,119,136635,266,112499,82,107599
145,206868,51,196773,81,191522,55,143168,222,130320
60,713222,164,95714,236,79953,266,73973,67,67784
33,231884,86,217448,75,168928,82,118115,36,102238
19,277679,82,141582,106,85225,20,84854,122,81988
105,400244,238,141909,64,138499,59,94459,245,84230
107,457919,119,71447,5,54316,10,46002,11,31328
141,385287,107,282252,245,232564,121,158286,234,127299
112,154314,777,92758,236,69330,202,57638,22,54620
141,189835,154,156307,20,108316,157,94652,120,86435
202,529199,236,408483,51,332636,81,278007,145,200488
81,251925,119,209053,236,188824,67,167941,145,153711
64,217396,58,165273,25,123373,79,119751,59,111096
81,213808,67,163231,145,97040,498,93127,236,86441
103,108109,101,102493,51,95683,157,88875,145,63070
246,60317,8,44279,104,34222,121,32540,55,31944
29,189192,114,91624,22,77821,51,68384,86,60291
55,1056521,51,132490,92,115654,99,96309,267,66766
141,150153,28,129734,45,61022,202,49706,876,33576
56,516935,121,235390,6,142945,102,94605,77,78097
222,165294,145,128874,29,102688,523,92975,498,87884
30,159322,145,148289,89,125008,81,105644,18,104223
62,159811,58,101506,122,87991,24,77622,126,76767
122,969087,266,509838,119,466108,29,256187,107,254518
119,182432,360,60325,222,49636,18,39029,133,32552
360,50795,145,37912,202,33330,222,27596,236,25327
157,1000611,21,353415,99,340769,875,266757,51,217594
55,57678,107,54231,81,52421,64,49435,145,37976
84,43412,7,32399,875,30335,245,30197,3,23546
92,146035,114,84442,164,78206,104,46811,62,42428
117,213571,101,168752,432,152780,53,147209,14,140064
246,503765,238,245216,7,209154,145,189394,222,131202
43,123462,37,58279,117,52114,145,40975,236,30727
145,506434,236,266524,498,191993,22,141514,51,136949
240,199082,150,163708,35,99510,30,91204,50,47946
40,80644,117,79346,412,63990,350,31670,53,29702
360,174391,119,47908,235,46313,51,24237,10,23980
81,286109,15,215327,51,162538,145,154179,119,103000
84,55021,234,53507,134,53070,517,48686,238,39829
246,152741,245,98216,8,97275,43,88898,38,79564
67,163671,222,58856,145,58509,7,57596,157,55830
45,154202,30,95779,79,78975,14,71976,104,32572
75,232067,24,156797,6,133673,107,131673,875,113355
55,385063,10,83941,777,77672,13,25533,39,21633
412,882678,201,548818,43,274752,80,230616,235,204417
157,104407,81,102065,236,77730,202,55028,777,34622
5,382897,60,146600,48,78991,234,61417,90,53587
40,397603,16,157628,143,132515,43,117900,99,94649
67,138604,64,108049,360,84780,145,81350,114,79478
74,433125,81,273899,51,252785,21,135343,202,113159
81,57962,67,32983,117,31641,523,28450,145,22643
38,491958,3,308078,517,285536,39,227767,235,217485
122,578347,67,351656,21,110241,22,102346,202,97834
141,109969,121,87704,82,69027,245,55132,203,46293
81,45347,64,43552,7,41734,246,41460,39,36400
234,26969,421,24375,68,23099,5,22623,117,21382
121,496923,62,492120,10,158826,11,148138,86,88258
107,713036,122,239500,121,238470,56,161208,157,146678
412,86567,26,56997,497,45953,12,41118,89,40999
