Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
40,182655,412,155148,30,84180,16,59205,119,58687
84,37152,39,27322,412,27096,64,26544,238,21528
119,498827,67,167216,115,111489,107,108412,81,93011
64,175318,11,114331,104,68950,266,60013,122,55808
523,82544,81,80663,22,69224,202,59302,91,48067
412,57669,25,45253,245,35992,81,31305,64,21753
157,76863,238,76791,39,54572,145,37952,81,33823
145,168209,222,112142,81,100699,236,55502,157,51769
121,197779,67,188634,81,187068,222,155972,202,120275
81,75950,203,75598,7,66224,64,58239,131,55807
76,667408,11,188382,245,182292,64,133147,222,81446
234,218561,92,167851,157,71323,76,68570,56,67426
43,589508,89,462907,267,347857,117,302086,222,265209
145,123127,81,62721,360,62462,429,59791,236,52249
89,44895,875,36335,526,26186,80,25193,12,23869
266,207142,150,70673,82,65580,58,40689,875,34564
55,132679,84,118298,517,79157,7,62584,103,46007
412,670705,64,632368,238,329646,81,266556,157,247917
91,230514,157,91053,517,65522,56,40577,777,32815
64,207962,222,100869,145,80134,92,74140,121,70930
20,537250,81,124594,51,106247,22,79948,875,56105
245,1588466,57,268050,12,231611,41,211425,3,132050
777,172184,234,55805,555,54041,64,45126,131,33707
350,927068,518,479976,51,160262,89,62788,99,44881
412,178289,81,124649,145,80507,53,78286,101,71221
154,803457,53,777092,127,425912,412,422274,157,362429
64,201694,39,69465,55,69381,76,48896,245,29826
238,161394,69,151667,7,111403,4,78696,245,75263
238,322946,64,281689,412,165268,92,153424,157,142776
12,190616,61,81885,3,48569,98,38902,350,37069
34,1031510,12,160993,105,159223,9,137284,61,126722
164,116880,84,94991,58,63575,114,52044,126,36265
80,88556,84,88084,60,73898,7,54008,157,53835
157,343408,67,214453,64,164904,245,105757,98,85810
64,109903,238,99470,81,88026,67,62171,157,56476
24,1083928,114,74460,119,59019,164,31869,101,26884
67,70590,145,47696,81,42075,222,38737,202,37295
150,1143833,57,402832,85,285082,79,257859,267,255167
245,97343,131,31720,104,27277,81,26480,23,24576
64,190302,76,148125,81,71157,39,60244,60,58568
238,154619,157,101119,777,72975,7,41567,517,32560
40,299329,117,239472,43,208093,235,176924,22,118898
28,218608,517,51750,84,50217,202,39974,555,37122
81,319594,92,246762,78,246495,145,218322,51,140086
711,42585,555,31364,81,31202,202,29603,101,25659
202,96022,523,42909,360,40611,121,31271,145,23256
19,236852,360,107264,234,88145,120,80924,157,69490
102,298862,236,271846,56,248611,145,236572,64,150527
81,71690,360,65282,145,56675,115,51271,202,38106
122,157723,412,97848,53,81527,89,78633,43,51799
4,257471,39,225344,38,220493,64,89672,711,46717
39,329294,126,247533,41,217051,245,187073,268,154602
64,310778,432,109890,412,104008,4,103602,81,91292
164,125447,517,115435,141,90658,131,89395,101,79236
113,403983,203,370237,92,367018,55,336420,104,229818
4,241790,67,107345,81,81861,157,58186,76,35243
79,133447,77,127968,64,88669,412,74159,81,53961
89,286925,117,137118,51,136002,412,129663,22,125406
81,401518,68,245202,236,239957,22,234165,202,193488
64,537085,412,121431,81,117176,53,105285,60,94991
117,94484,350,39399,16,35600,55,31195,267,28774
120,634379,57,183997,266,138059,107,104864,106,91026
154,312886,92,131725,412,110268,114,100723,84,75056
875,185396,114,135489,126,87359,85,66434,157,57220
91,770043,238,261049,157,180995,67,133561,98,129987
164,653652,266,160881,517,149691,92,78768,126,52679
163,269555,268,268079,13,161659,421,102619,18,101433
145,174181,81,123296,67,64495,236,53531,114,53086
67,357492,236,158193,81,147128,157,101231,145,97752
81,74599,145,60824,55,44112,360,40607,157,34830
202,524836,145,365245,51,197863,245,191649,360,168307
145,74114,81,59200,236,51035,67,41027,360,39988
60,702312,64,663088,104,448359,76,387191,92,259268
67,309290,81,219930,145,70495,157,60466,238,60452
81,505714,412,340634,145,306307,67,255138,236,212424
64,139789,4,95001,245,79234,78,74229,104,58833
157,109017,7,50740,145,45917,4,44803,238,39295
127,34914,105,33344,81,28823,78,27357,58,25986
8,94802,114,51893,24,50691,75,47387,67,36441
523,58726,81,50775,145,39789,236,29977,360,29781
150,342570,24,145994,64,87084,4,50806,201,49555
143,169630,99,115689,235,95416,57,80663,43,67990
64,92608,68,59683,268,57621,7,56664,53,55182
238,67434,61,62276,142,43485,777,31095,84,30882
76,144091,64,124502,104,93437,99,48488,163,34577
60,206610,64,133772,105,86592,81,86455,79,54719
64,96481,107,94924,35,93494,412,68739,53,67191
412,632896,92,502565,53,343191,86,294652,43,142517
4,363766,64,284187,238,157316,41,121450,236,119053
245,539139,412,159209,39,116645,236,116370,238,95643
5,31194,104,30657,2,26769,64,26326,76,22404
53,225792,103,198734,412,181442,157,156799,99,155302
114,255200,412,136291,64,119397,238,96117,245,85308
268,686049,107,274274,103,234597,101,170947,75,122490
39,173550,360,86565,81,82655,64,67157,7,34850
523,206416,202,191704,145,146653,67,81866,51,70688
62,145730,91,143150,64,122565,131,120469,104,119481
81,714298,51,385031,110,328803,236,277910,222,215814
122,466837,120,440913,91,267860,86,245121,36,169204
777,173956,164,130824,82,109875,875,101560,122,96218
81,263489,238,164573,38,145829,28,120455,154,114692
234,115639,39,78625,777,72661,523,64572,517,61811
122,518381,157,238621,55,200186,67,155324,92,153077
64,384851,107,368361,104,238568,60,219412,38,173356
157,166734,412,68583,25,40160,114,39406,238,34898
