Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
21,172551,51,90974,222,71009,412,69104,154,64819
91,125626,245,97737,141,65577,238,59637,8,58524
875,335827,141,128975,106,97539,53,97379,11,82431
107,433175,67,95849,157,89505,64,55979,222,53176
157,63448,777,55025,517,54295,80,50273,238,47719
555,58748,875,31058,35,29831,141,27342,360,24412
106,532864,21,75875,157,34917,56,28828,875,23054
106,322676,57,180122,161,157843,54,85465,111,32561
157,57896,517,46153,84,25888,238,25611,58,21863
50,103742,875,65739,5,53287,81,39536,75,35871
150,134122,106,63594,20,58860,555,49927,81,28302
777,64274,350,64087,56,35476,157,32984,81,27196
777,72493,11,54057,20,46431,555,38453,222,34953
58,85754,517,81363,266,47059,238,38553,236,32547
350,53698,20,39296,57,37723,117,29624,102,23126
412,239147,8,162364,201,72801,53,68207,111,67047
53,98764,101,54586,14,45490,111,45054,82,41087
86,269568,875,141839,58,44030,54,43632,32,37530
19,102093,875,86606,75,57999,24,40049,81,38364
17,187952,99,129456,48,65494,36,54398,350,41425
99,175985,350,102321,21,58094,25,40887,145,31554
238,161375,91,52986,81,44266,55,43739,517,41197
106,107643,80,63531,98,63316,54,42398,235,25879
104,86186,59,60127,5,55859,141,47922,80,47271
145,44070,412,38102,235,32917,432,31908,81,31233
48,298580,85,101816,497,59789,37,53327,427,43293
555,184530,157,78840,20,66713,777,51005,53,44754
99,175701,238,99370,157,95496,777,37712,555,35391
19,139353,58,98565,54,55205,23,51400,33,46526
122,266128,238,122880,157,100283,266,72901,875,67761
29,437421,222,168086,106,93977,54,88754,37,71148
360,89549,131,63726,81,58946,222,31383,145,25278
22,92244,110,60710,235,52526,78,31741,360,31660
58,67758,86,46986,157,39417,131,38045,11,36764
32,76170,58,63707,84,58901,421,47016,2,42138
223,80401,32,47571,53,39334,555,37990,23,33613
53,182963,157,161651,777,86324,555,54012,412,33078
157,332787,39,123000,64,108600,7,99466,107,81184
81,130245,222,78878,51,75251,22,48001,21,43273
157,228528,11,68407,777,67906,81,56356,67,41236
81,263773,64,135525,76,117888,157,115480,22,105470
101,220776,99,157709,236,124777,31,117218,22,63578
141,184282,157,83723,777,57052,81,47347,145,44726
25,217677,497,92007,267,65267,57,60171,432,47659
53,70178,236,39380,58,36485,106,34775,523,31158
99,322947,89,89702,84,65692,103,51884,154,36399
517,44746,777,36137,136,32532,24,26551,141,25669
157,189727,777,156578,53,114336,236,112513,80,72695
37,132293,11,83402,81,72702,67,60471,238,52444
86,159796,82,143400,54,98424,11,84122,122,82335
78,45479,84,45068,133,30813,112,25743,48,23145
67,238445,268,174563,134,160081,238,113021,81,74809
56,238240,777,198034,99,187534,555,129938,64,75861
157,111336,11,89119,238,78919,875,58434,122,50258
555,108005,58,97839,75,71207,101,39774,11,38515
25,166998,117,117888,99,61653,147,50581,110,37763
81,86043,157,77315,64,55943,24,49164,238,47266
145,79464,245,49793,81,46650,202,36814,360,34267
81,92937,157,45262,84,41050,39,24332,777,22769
81,113924,39,51332,145,40968,238,36559,92,33434
76,90913,13,83164,102,73756,203,70152,104,45563
103,160891,245,100371,11,74328,81,61702,141,46150
875,124562,17,70513,53,41378,157,36078,266,34076
105,139562,64,76069,164,51480,84,40832,157,25234
555,160328,777,156896,157,65347,64,38524,39,34507
19,331160,50,134149,10,41678,875,23005,136,21846
