Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
67,179575,412,172550,17,99563,122,65957,53,62674
10,74928,81,56016,7,47268,5,29858,876,29371
238,168781,64,112132,81,108252,11,99265,122,60629
157,422901,84,162659,39,127537,777,110838,234,90950
517,66940,157,65890,39,50716,76,39321,777,30436
57,348523,54,43065,32,38157,80,32635,53,30573
79,176804,81,92875,103,90020,60,69689,161,65949
81,72715,111,69592,143,68279,104,60276,12,56740
777,77721,157,69071,11,31857,360,26903,122,26709
21,302618,81,247617,25,148310,54,106196,80,102480
516,96850,164,59866,58,51205,39,33026,517,32133
81,207983,51,181575,67,155552,107,151467,145,128130
50,232777,53,192639,412,187360,89,177306,12,87338
122,91110,81,38759,157,31004,11,29075,75,23044
111,238648,7,91606,81,62773,38,44386,53,42591
238,132346,121,54455,81,54054,64,53174,35,51789
17,227806,99,151658,51,71142,350,67568,117,43128
7,178575,84,101299,516,92140,53,74128,105,51080
145,110048,157,108080,81,100440,236,86030,15,85637
81,149309,145,69150,67,52684,22,45420,202,44067
141,183290,876,46706,64,37817,76,33212,157,24856
235,160324,202,94808,268,53798,157,43828,221,32030
17,210684,32,80891,54,33082,86,29450,24,27071
6,435610,106,91627,25,88993,82,76602,21,46733
111,206501,81,194307,67,97343,22,88948,51,87001
21,61872,43,55134,89,54721,523,48714,81,46996
81,35911,37,34273,234,28992,104,28360,64,26541
238,132708,55,90240,34,46479,119,40167,61,34441
99,48698,350,36977,876,30592,711,29096,28,23657
105,210157,203,209140,32,111693,64,105179,121,93942
350,66335,89,55384,12,54000,106,40594,20,30421
875,101526,777,87693,238,56693,64,53558,157,49531
81,176621,110,104796,145,88235,67,82237,63,78666
64,430312,245,143091,104,139464,202,82793,76,82008
89,640529,86,532497,75,163801,54,108010,91,102623
81,270114,51,143515,67,126875,254,125392,92,123719
122,194637,157,91969,360,82635,517,59104,777,59025
81,162139,145,78884,51,57451,222,43539,67,41308
81,320820,412,164122,51,117334,53,107938,99,101475
81,46146,22,31438,115,26843,202,22650,80,21582
350,199662,28,187272,518,105778,25,95787,235,69886
81,79644,64,59264,875,55556,157,50399,106,40967
11,394126,81,234942,110,210467,5,122470,54,116119
236,140730,222,64864,157,62854,67,52992,238,49965
81,108789,67,47491,145,44865,51,34473,22,28628
50,289900,32,111309,223,40600,30,35762,77,32554
157,379435,7,133344,55,130799,360,118101,238,92383
236,349826,145,198835,81,175964,517,91270,245,78296
57,63697,106,58220,120,32132,117,24973,517,24258
157,138922,517,92784,103,79454,236,58732,141,49703
81,46991,18,36622,350,35869,238,29355,28,28899
526,334611,53,202497,111,163269,103,102040,54,49275
222,680907,412,121625,81,71385,12,59792,117,54075
236,274380,81,229857,67,227352,64,192905,157,178647
157,329194,39,57822,777,46918,238,44936,84,41965
238,80625,39,36904,777,35599,517,27301,157,25808
81,189926,110,114515,236,83652,145,82300,21,70059
56,437368,113,139161,164,128465,105,111419,5,108783
81,97011,84,87177,39,61368,429,60582,157,47084
875,547151,106,162900,64,93587,141,83493,202,57466
222,927616,254,628416,80,540990,5,506443,56,491133
91,107542,17,91488,81,77398,235,75814,35,63203
98,127473,39,64464,69,54994,11,49629,236,46543
25,75583,99,71621,222,42428,518,37948,57,35765
222,191632,236,173081,22,68043,81,55663,51,53055
21,123008,157,99777,105,81855,81,80864,202,75808
222,431868,53,269455,81,258525,51,253717,22,192012
9,83129,245,34970,55,32638,141,29468,64,25363
54,160265,22,78730,25,66802,99,44155,81,39911
350,98092,28,89144,99,78411,518,48830,497,46158
350,119745,25,55704,154,49699,147,39867,67,32884
81,38946,202,36137,57,30801,236,29671,145,24782
517,63948,55,44727,412,35939,245,29738,31,22234
238,213175,141,144042,157,104894,81,100247,555,38407
22,168960,51,148283,498,148145,105,101491,67,96162
76,222374,516,220264,54,118182,24,109447,64,105963
23,582313,875,296419,86,134210,54,75553,17,51459
13,51365,145,38234,81,36058,39,33323,67,32579
81,125322,145,108121,22,93787,360,61084,222,58150
145,60709,67,49116,81,42650,236,24638,202,22003
101,60734,8,30111,4,27478,236,24000,112,23507
75,296092,17,159026,81,149419,61,115976,157,101823
17,270964,117,179700,498,151094,350,134854,497,38988
50,103982,121,67179,360,53788,236,44528,5,43842
67,157840,222,115556,236,109718,157,108531,29,104775
81,216089,67,189263,51,113757,222,113108,202,109108
122,351370,83,147851,114,145963,82,129765,876,97289
122,608605,21,326908,89,232905,86,186379,99,151800
64,64545,157,51339,238,38124,516,35232,266,30321
111,200985,101,131254,516,50955,54,43426,20,40012
157,222739,39,104045,92,64316,238,53850,64,43503
81,44525,67,30252,53,29816,24,28131,141,27798
420,130054,266,107635,516,74348,64,42150,81,41302
53,121288,201,90891,99,90828,555,75685,64,73938
67,300659,81,127505,51,78918,498,68808,53,58806
81,331908,101,140996,64,140200,157,112838,39,108811
81,236831,17,148751,8,123128,25,119876,51,96836
412,61021,64,53651,81,51351,4,48764,12,35861
63,293526,412,233489,99,228888,53,182851,127,135333
238,355812,157,143230,39,80226,84,49921,58,27841
497,139633,90,105963,85,105907,98,94254,133,79281
111,155781,11,128071,54,127405,15,118810,60,117778
67,170993,81,143503,202,100107,498,83673,412,62566
122,500455,157,69857,350,50131,555,28482,11,22864
122,168894,157,167458,64,148019,92,128220,103,123530
63,134243,81,109335,18,81930,222,58787,67,58659
64,119929,238,84877,81,52174,53,33629,105,29487
99,59444,350,51314,147,43292,25,28428,22,28288
164,150302,84,60207,517,56182,39,54625,80,40678
203,94026,101,90658,84,86696,28,75180,7,59309
11,1072893,102,165063,98,115079,81,66197,412,25531
99,220519,412,148321,57,69951,555,47049,89,38966
107,241664,53,138915,58,128682,236,124747,81,124383
22,149268,67,73961,145,49818,51,45311,498,32956
238,195006,39,123997,157,81255,55,67440,777,60646
55,80663,53,67976,64,67459,157,63384,154,60488
86,378313,875,94464,360,87892,101,52199,122,46647
412,70897,79,41523,101,38241,50,37749,77,32378
83,215389,875,212372,122,117767,516,43422,58,41118
35,295516,268,189549,17,186438,67,151160,105,143081
64,88006,412,84579,236,67250,81,62274,238,57509
54,35737,875,35006,86,34813,517,32090,126,23242
875,208543,516,45487,157,44733,517,40902,107,37512
157,182762,238,179288,67,97471,81,86669,64,75405
10,121904,114,61997,84,58305,104,56109,92,53916
92,142258,122,37987,81,35695,41,35524,157,35242
202,89617,81,58367,236,43623,523,41047,64,34523
875,101710,80,48980,777,41885,81,37191,141,34807
53,95739,17,49458,222,44359,81,40597,105,32085
81,146917,145,86364,64,72505,235,72255,360,69621
350,185867,43,105803,117,53377,25,44768,37,33898
11,113827,412,76903,12,62579,120,61322,104,57958
111,91917,267,76141,223,66024,412,56541,80,53442
81,109224,145,94628,64,90357,236,62191,84,52101
12,313770,89,225491,58,205921,21,126028,81,51481
2,118952,56,67318,876,49835,99,38949,141,37667
164,100039,98,96912,58,47241,68,37481,81,26197
99,998841,103,732951,51,543000,412,195241,61,136620
145,127239,523,67668,81,67084,517,65158,236,62608
157,70732,84,57597,145,30779,39,24469,238,22888
245,122353,39,84940,81,62978,79,61644,157,53637
114,142690,112,99106,81,57413,150,55639,61,49377
51,188128,81,168872,53,154745,54,107532,67,93976
64,283576,154,35422,39,35216,245,34811,203,33442
412,221139,81,120239,53,99172,8,76675,104,74401
58,61903,81,54711,112,51863,67,45176,61,38930
50,164975,126,76177,161,74846,154,70888,236,34843
7,57870,142,44616,84,41512,105,31391,131,21605
11,214826,9,75592,51,50536,81,42965,145,38499
89,276298,147,82777,117,80842,16,36611,497,34899
432,947482,74,347061,117,304695,101,192147,111,57961
122,178940,81,94509,67,65664,92,37549,54,28812
111,152121,75,122710,54,119410,98,114149,25,113503
69,99663,875,54426,235,54230,240,50086,111,25271
84,126976,81,64661,39,50969,777,40859,203,38340
21,84227,81,74896,110,61228,51,54615,143,51788
64,95021,81,63997,777,58351,202,56891,157,47116
238,89132,64,84561,67,76983,81,72031,38,58443
50,466013,81,146326,64,141563,60,126744,429,125409
157,157775,55,134532,84,123482,238,92986,39,89584
420,368197,81,90650,157,89911,143,86211,67,61979
76,80764,7,80346,81,79432,64,76472,53,72705
25,130075,82,43187,111,26543,76,25394,32,25063
16,81353,103,65138,45,47883,28,43131,7,38204
777,83490,84,83102,246,79428,80,73095,105,67380
202,219995,145,141883,81,136852,523,121598,360,77889
145,466991,81,157679,6,138675,57,115507,236,80910
157,201129,64,119593,11,118980,238,90865,81,58190
107,142530,54,116395,53,80870,64,46464,33,43826
245,234253,516,176526,122,90324,517,49355,39,48115
20,387341,555,259906,53,145886,234,63956,89,58935
236,47759,360,30280,51,27831,67,27036,81,26479
35,116974,104,95211,84,83096,64,68961,141,53675
555,134529,86,82407,122,75521,64,37732,245,35134
412,205816,122,176466,98,111508,81,71086,150,65578
103,364042,21,128593,157,95338,81,86705,51,86116
76,103327,107,87922,64,86106,121,64727,126,61134
157,70359,91,49748,117,44553,412,39383,136,33305
157,93168,106,63650,39,60466,875,60460,64,59767
38,179692,64,127667,80,105933,4,99842,35,93253
8,305341,266,99054,24,89854,236,78436,39,76854
104,235005,145,69483,76,65451,64,64597,60,40233
64,316680,412,243968,53,175411,122,113564,516,68412
99,261584,25,193656,37,162432,21,130530,63,116502
238,98136,104,86536,8,75475,64,60047,67,51285
157,487169,39,246211,238,219963,523,161899,145,131078
99,105621,236,95309,54,53453,81,48197,64,41001
81,44132,67,40979,360,35686,145,34941,222,31639
21,402978,145,156147,81,105012,111,73496,51,42660
99,442392,81,195391,235,152329,51,118872,110,72530
517,71642,266,66693,238,49880,84,49367,39,47651
157,121422,238,107052,11,78671,875,60651,122,50798
412,244212,43,115079,12,105005,25,87510,3,77615
16,94107,89,51640,350,50247,412,36321,39,33479
7,116629,157,115919,67,68399,81,62301,11,61416
25,1387232,21,245508,147,194942,99,168810,45,30867
64,123431,412,90793,53,87265,59,79523,157,77955
67,300912,64,154447,81,130702,105,99186,236,90212
11,519572,28,84535,86,83118,81,69140,60,65741
39,1432502,203,1243559,245,513984,81,466855,67,466640
11,69710,157,51733,517,35527,35,29368,105,28423
350,248556,117,146290,147,64423,99,61311,17,52817
142,262602,35,72714,114,56543,84,37098,104,22663
54,74445,3,67834,56,57401,21,54529,33,38459
86,214044,875,71991,266,68049,62,56699,106,52884
14,95527,82,55148,523,35159,134,24584,498,23193
122,205984,150,78560,64,62434,111,59991,11,50290
360,73120,81,60780,145,39884,555,36197,84,34509
81,119554,360,79247,145,77325,523,64107,498,50423
