Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
25,64895,412,63177,201,56835,29,51495,555,45769
412,162815,63,116765,16,33194,54,31348,86,30146
18,120967,92,104816,99,84513,84,76501,25,68282
81,82300,63,82064,236,72274,62,52388,24,23294
19,175722,54,86183,45,79884,53,79746,62,71938
83,290242,235,86639,19,70974,3,58116,101,50119
498,232050,145,172797,80,132182,22,115152,63,115123
157,286129,23,265498,86,218254,84,167094,22,143643
161,117777,145,55972,13,39210,101,28686,29,27294
67,61811,236,59971,51,55425,122,37489,202,23231
147,180029,22,94804,145,65986,99,51276,84,22495
777,109817,18,77864,99,60286,121,42799,86,33733
157,179828,238,90237,11,86581,105,52651,235,51744
77,146741,67,40895,54,33919,64,28630,16,21676
497,60343,81,35786,1,35717,62,30698,161,28980
115,143098,35,110107,57,98108,68,94898,54,85403
67,1009187,157,458137,238,398986,11,166428,29,160242
157,87716,64,66353,92,62636,19,60817,22,48595
51,135422,555,112993,15,93919,201,88337,37,82167
122,286216,21,177977,110,101997,24,100647,202,99942
33,59662,119,45412,2,41868,77,39561,24,36314
63,172072,82,122148,777,121374,24,98028,99,60242
254,133635,412,125375,64,123079,43,95414,111,94656
50,64392,89,49564,17,47331,523,33840,25,32696
11,242866,202,123051,24,110460,5,87786,141,73189
222,89440,22,84234,21,77763,37,69828,498,63639
111,155476,86,104317,25,73523,31,65286,99,41528
22,62223,51,60555,21,53321,19,46748,25,30801
86,182964,75,163522,122,106238,92,104564,238,96709
133,311339,19,77780,11,65788,17,48130,157,48004
86,211507,412,194912,11,179297,157,124101,58,118674
157,120506,238,93923,202,67552,119,60967,141,40486
86,441406,238,400674,11,277186,157,237946,53,146545
40,88299,16,40141,497,38243,412,37074,20,30806
154,150239,497,122339,19,55780,56,44609,60,36823
157,191139,45,89094,238,82754,555,45645,29,32536
25,79175,99,56472,106,47142,22,37444,115,34714
238,84362,121,53489,141,48249,86,42742,24,23725
3,182344,141,102147,50,88228,518,81040,31,77623
37,95015,497,76737,102,52419,201,50308,111,43360
99,214293,429,77739,222,77706,25,61817,498,50960
11,122315,122,99688,157,93764,24,91438,245,53505
141,115984,102,100717,35,81062,89,62278,113,34994
67,324183,236,305091,145,165640,22,146843,498,145737
412,369672,497,168067,202,133236,235,122202,81,117491
25,193434,111,89390,8,78490,17,65902,57,64121
22,77208,875,76826,99,73136,103,48379,63,42423
157,385900,145,142583,55,134287,222,108206,84,105749
147,168146,99,130823,22,125738,142,109708,23,65619
157,108325,29,65407,11,60840,24,54242,12,49145
15,92703,75,59456,875,46803,101,39522,80,38048
75,465868,119,447928,122,225526,31,179588,51,166578
29,61978,254,52910,31,51026,53,48153,412,42332
432,103448,136,59529,412,53331,67,45077,526,37464
6,95685,45,93489,150,86646,133,75611,50,73705
142,77325,147,73003,99,50714,518,40925,51,35657
44,177644,84,141709,99,85389,1,52672,145,30723
86,226336,81,166748,22,76210,84,61080,19,55429
518,410283,63,365432,161,358776,15,258125,43,220513
86,86167,99,60116,17,33455,14,30205,53,23787
5,78039,18,71720,105,67194,141,66578,222,65182
157,756781,238,234680,55,124221,141,97859,19,61690
157,63158,142,44291,64,34996,84,31860,150,28726
44,101147,33,90150,82,75815,18,74360,412,63163
28,89065,86,64564,53,36131,33,33660,107,30918
103,286167,145,75585,498,72497,18,35742,40,33401
142,103984,81,61763,84,55093,105,47532,203,47493
22,449420,99,385592,117,231608,16,191248,518,187405
21,175640,15,60550,39,50092,53,44698,81,34313
122,85180,202,83552,31,63060,516,61460,75,47943
25,105712,74,87437,17,67631,22,61016,12,49337
16,262845,143,228996,89,139172,99,132884,111,124079
63,93371,89,87656,21,86126,110,80077,16,72685
55,192247,238,127065,157,124287,555,89875,84,88504
7,39150,498,38950,777,32637,81,23588,10,21699
55,476387,39,311629,11,170833,203,131295,84,128178
50,134175,25,64452,37,62421,99,48649,235,47987
21,301854,27,210975,202,184630,266,180454,145,134171
238,483139,157,135313,81,119718,245,88283,64,76151
119,39221,35,35729,235,32546,63,32088,27,27409
24,182708,157,94303,141,66576,23,56324,18,28166
43,124665,45,109668,127,92476,12,85184,98,59192
16,455958,131,200471,18,185888,89,171719,25,145563
24,163347,131,108273,11,62920,19,52850,238,46801
238,80868,119,34739,11,30187,19,25415,24,24394
64,1636309,145,88968,202,62498,119,54742,35,54661
122,31906,29,26094,67,25646,875,24839,104,24732
143,286762,117,169086,37,111303,31,85268,6,58127
6,114717,16,102575,31,98587,421,76697,98,69775
83,149582,202,115916,17,67668,41,60384,63,59359
17,49288,202,42140,40,26066,222,23269,240,22109
99,152451,89,99044,16,71824,143,46037,497,39436
11,223664,24,114086,21,101282,23,53210,110,52634
21,86499,145,70810,202,62241,25,61940,51,58687
131,94970,5,35176,254,34552,21,30629,19,30152
122,65509,58,47857,238,38293,240,32697,54,29983
161,115258,268,107561,13,103747,86,99062,24,80648
62,162677,157,88148,39,69262,875,59044,11,50109
45,104519,63,83851,18,83536,223,78136,150,78066
11,443076,235,397383,21,269137,24,250502,119,248447
202,168140,18,150846,412,119391,81,118334,236,117364
555,355753,131,214066,53,113658,111,100323,45,94766
57,70488,53,38928,19,37429,3,35681,141,33452
21,101959,29,65811,11,60899,77,54536,121,37235
81,92456,84,74720,15,56024,498,42041,39,40619
81,283014,157,106354,105,73436,91,68415,75,61808
21,115761,101,53917,145,51987,238,48027,20,43818
99,551207,103,270005,51,98911,16,81366,518,58342
29,153574,498,91371,67,89607,222,80616,236,58887
31,439177,86,242226,6,155527,78,128744,54,128119
267,123846,16,39794,40,35044,37,24497,3,22272
24,96984,86,35553,64,28420,412,28362,89,23530
131,48641,22,36503,99,25002,157,24205,107,23762
25,135965,127,102975,117,47245,136,39995,15,31451
64,72475,412,67913,12,59199,119,49773,35,48476
245,75476,41,61481,42,59778,235,31079,20,26230
202,218222,45,111364,4,107769,51,103732,29,51478
24,81909,55,79817,157,78012,84,53237,141,52404
35,368584,141,266505,19,104946,157,46391,121,38653
99,198257,145,141313,222,80032,103,79687,875,48143
157,195952,105,112750,245,85423,17,68605,21,50638
555,182915,238,103780,43,93735,875,73902,53,59638
24,86434,131,86253,98,64992,42,36840,517,26595
104,697587,83,131830,14,123895,113,103033,266,97792
99,331377,63,131857,89,45931,147,41872,45,26394
497,116684,412,99153,267,81551,555,65088,147,60752
412,756109,53,46018,98,37832,161,25843,497,25698
99,134587,84,49308,22,45745,103,45562,51,41548
67,198702,222,190437,18,137176,157,101072,81,51398
99,392697,16,231465,143,140871,51,103078,267,89534
63,104404,35,103214,99,89115,56,80247,141,76976
25,119772,145,110695,21,95375,99,84958,555,79343
53,184872,86,146538,25,72385,6,53215,19,48024
55,500081,64,268411,91,183347,107,140754,7,72736
84,38483,81,31898,235,29446,41,26383,164,23413
7,144611,53,55467,75,46313,238,38551,412,33998
50,187900,111,135070,89,113118,17,101796,412,96272
131,75106,105,67709,245,49501,85,31150,24,27682
99,205870,143,119420,518,118678,61,70054,39,63232
117,131568,267,119135,67,96981,25,96017,64,90936
21,151250,67,49846,89,33098,122,29552,29,26083
238,235928,21,86175,245,76606,81,74763,104,74405
11,60859,99,44507,25,44000,22,40206,157,30070
20,588515,11,268017,25,190773,99,177467,53,170409
21,175269,110,64611,202,45623,360,45563,141,43187
45,213354,63,169773,90,138344,420,105579,8,75807
19,126590,254,107986,45,90459,166,79940,202,72986
202,175777,10,171201,22,94082,142,71150,17,44229
22,102882,15,93920,110,43467,53,40006,18,37517
111,63535,141,63164,31,59058,3,50564,516,38832
145,74713,1,50211,22,44496,15,37621,497,27972
555,172580,25,170225,141,161838,99,152860,82,136951
34,427553,516,423064,61,125282,267,112537,32,87437
555,169887,222,149191,25,116138,99,107863,202,98418
99,311473,63,152265,45,77996,86,76230,75,67608
157,201507,45,85279,11,78907,19,51975,105,47524
157,206903,238,169562,55,128078,202,63794,131,53627
22,113869,23,102207,498,99758,86,82283,31,81780
81,81403,157,41474,51,41170,13,38734,119,34061
63,144144,254,134914,86,103583,25,101216,53,63356
64,79167,56,46353,53,37668,157,36767,20,36270
19,121261,157,46481,235,36780,141,25913,523,23675
157,400295,80,185209,37,43220,142,36323,29,35595
99,240904,518,79315,147,72629,117,69529,16,63492
360,174671,91,149090,81,122814,145,88657,85,81384
89,124227,86,66469,22,44240,887,44236,360,32449
157,218317,238,121890,55,113446,29,108732,141,59503
99,182729,498,114757,235,81351,81,77432,17,75562
24,526636,19,126834,238,115096,110,72537,1,63321
498,122643,523,76399,245,72133,6,65634,145,60749
99,127505,235,122147,19,108561,18,79271,21,57265
75,49704,412,40306,26,40109,54,37956,555,31790
117,228461,86,179063,350,176577,17,159618,16,138399
67,76446,238,59991,11,56363,29,48569,99,46617
119,174631,19,157573,21,74430,145,68344,254,53622
15,84034,6,60066,106,52757,136,40058,86,28683
25,273611,19,251431,222,114933,15,112373,22,106556
161,129919,141,125984,266,119269,150,107952,235,64894
497,75662,235,53887,141,30630,57,27650,131,26269
77,190177,19,122338,11,81086,31,59445,24,37078
99,262215,25,87135,53,77953,36,29522,86,29209
6,172100,420,161254,875,150786,432,143065,133,142504
157,230913,23,74372,238,74304,122,65070,245,64036
142,110123,235,99804,84,77915,523,60617,517,59085
51,71834,103,55397,202,40982,145,38753,91,31691
157,115192,238,104878,154,33212,13,31125,53,30328
154,66073,120,64677,20,53198,240,43750,35,41160
498,311756,81,90460,102,63611,44,57910,236,44778
122,202344,99,123643,555,120902,141,120636,142,119870
164,36009,55,29062,83,28068,157,27479,84,27094
