,lane,top1,top_dist1,top2,top_dist2,top3,top_dist3,jg1,jg_dist1,jg2,jg_dist2,jg3,jg_dist3,mid1,mid_dist1,mid2,mid_dist2,mid3,mid_dist3,bot1,bot_dist1,bot2,bot_dist2,bot3,bot_dist3,sup1,sup_dist1,sup2,sup_dist2,sup3,sup_dist3
Blitzcrank,sup,Malphite,0.01558222391835205,Teemo,0.019078787867656873,Garen,0.02421910397607542,LeeSin,0.010778264134534577,MasterYi,0.01707373107881168,Warwick,0.025277155714671335,Yasuo,0.00929544472954454,Zed,0.014674602723796396,Veigar,0.01760787813742587,Ezreal,0.00748467291293058,Ashe,0.016223652830727457,Lucian,0.016829940425174456,Thresh,0.010258456710486238,Pyke,0.0216607226107924,Lux,0.023067329097607347
Brand,sup,Malphite,0.03399739295615042,Teemo,0.034345737746485756,Garen,0.05414212319048523,MasterYi,0.04711628642877517,Kayn,0.04865886377991916,LeeSin,0.0492874306325075,Veigar,0.019577499735633084,Annie,0.045823588473264586,Yasuo,0.055158399811739436,MissFortune,0.02745419931458291,Ashe,0.028108723538384284,Ezreal,0.028182182645408962,Lux,0.03194744754011201,Morgana,0.04578606389104511,Amumu,0.07611133133202179
Braum,sup,Shen,0.153796754761188,Gragas,0.1595212007402556,Mordekaiser,0.1818076432089989,LeeSin,0.11351873617176814,JarvanIV,0.13889852288610474,Graves,0.18990221882228955,Galio,0.10385755486133787,Yasuo,0.1040636124125017,Zed,0.14907241652812875,Ezreal,0.0626583307501753,Lucian,0.10320085915394556,Ashe,0.12024482762094,Thresh,0.08182700020958944,Leona,0.13368017433079654,Alistar,0.1361811498090424
Caitlyn,bot,Teemo,0.01834493126484734,Malphite,0.022530615510546453,Jax,0.02634981623817198,LeeSin,0.013186308814703415,MasterYi,0.01589815959497223,Graves,0.018863365167577167,Yasuo,0.015377323321458972,Veigar,0.0167395721000297,Ahri,0.017725310091816413,Ezreal,0.010656191223854136,Kaisa,0.015113008008459163,Ashe,0.017952022053983135,Lux,0.010450594857321078,Thresh,0.013547263985227948,Senna,0.013881087064574946
Camille,top,Fiora,0.018621445293789226,Irelia,0.01977850856615205,Akali,0.025750529978810062,LeeSin,0.013518504700564198,MonkeyKing,0.019591971118870857,Graves,0.021670845205380686,Sylas,0.013291771566335178,Vladimir,0.013389620539766216,Yasuo,0.01422561224747419,Ezreal,0.00911639668802734,Lucian,0.014180955721280513,Kaisa,0.017194712710870304,Thresh,0.018649428128661844,Pantheon,0.021801725426731006,Pyke,0.022716423201615592
Cassiopeia,mid,Akali,0.0253408848087208,Irelia,0.0298428646893638,Jax,0.04478784012050858,LeeSin,0.030158143045253615,Ekko,0.03769213353697257,Kayn,0.04900030776692209,Yasuo,0.028055263514735102,Ryze,0.04924953133422477,Veigar,0.051087914592217926,Ezreal,0.019288049467402528,Vayne,0.032756556727389155,Lucian,0.033487922105528284,Velkoz,0.023259647924530252,Lux,0.026537362640398313,Thresh,0.03496841118079694
Chogath,top,Malphite,0.08163647520129198,Nasus,0.08903313136403361,Darius,0.1260208573682838,MasterYi,0.06251519537169249,Warwick,0.07053343350031505,LeeSin,0.09249979208751176,Veigar,0.03913517230962527,Yasuo,0.05210964022748257,Galio,0.08232976972686289,Ezreal,0.0429983452726438,Ashe,0.05290744482660208,MissFortune,0.06324732844330418,Blitzcrank,0.05330572106862115,Lux,0.06152715770976339,Soraka,0.07737483945560521
Corki,mid,Akali,0.22969417305768014,Fiora,0.30005218574768877,Teemo,0.4553482890591044,Ekko,0.2357322049335182,Poppy,0.3209606401245874,Warwick,0.42236237827842715,Veigar,0.22407864885968137,Sylas,0.3075459132983149,Viktor,0.42148985005565504,Ezreal,0.15691196425387824,Lucian,0.23307354731752108,MissFortune,0.3154370149383799,Lux,0.18255077086774624,Pyke,0.31348675965888756,Amumu,0.3211316980272665
Darius,top,Garen,0.012811023939781086,Sett,0.013655843312558718,Aatrox,0.014585005444185855,MasterYi,0.006157263829641751,LeeSin,0.006339513168292469,Kayn,0.009248668588640261,Yasuo,0.0039233547599945,Zed,0.0063156361780683686,Sylas,0.008971661822333419,Ezreal,0.005529777722815789,Jhin,0.00680964268314628,Lucian,0.007351948303225163,Pantheon,0.006974450041139118,Pyke,0.0069751163446590304,Blitzcrank,0.007467883235240543
Diana,jg,Akali,0.016680311413736323,Irelia,0.018042423347577066,Garen,0.03461666719715609,Kayn,0.03031709466520671,MasterYi,0.03242800958256772,Ekko,0.03474607900845795,Yasuo,0.01673094352032077,Ahri,0.029742690352725514,Sylas,0.029993640714097148,Ezreal,0.01497818065801584,Lucian,0.02060207221825745,Kaisa,0.02206240532073183,Lux,0.020180019925735145,Pantheon,0.024409852603973933,Morgana,0.03140255117917658
