Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
101,35292,7,33899,245,32615,4,28661,55,25641
120,189184,266,132964,254,122666,77,107198,142,101831
55,189411,67,188681,236,130661,498,103465,21,101155
234,156537,105,129099,131,87850,82,33331,80,21411
82,1034141,86,754491,122,627001,266,595347,31,137668
412,114732,39,82434,67,63692,64,59464,145,56916
99,414434,412,282676,101,99555,555,77624,51,69754
238,442350,523,184866,114,153876,55,127468,35,118415
141,111170,39,67363,412,56796,143,43088,245,42336
350,144968,40,105136,43,74954,16,34210,117,33445
122,167783,238,144202,555,114677,64,113909,79,98168
145,283540,51,97988,202,93912,67,85411,64,66942
7,484787,202,367705,51,265398,238,207126,99,178963
77,118830,55,59087,43,58842,18,40100,83,32599
55,660262,92,61497,18,59410,157,38077,103,37741
157,389178,64,129294,412,116052,238,100743,141,87424
157,426013,107,191016,29,170696,238,119413,11,119174
8,1306568,26,152612,40,109700,50,87922,127,69756
267,117364,16,117159,37,107088,89,89572,143,89257
89,170190,555,141018,80,125873,147,101170,50,94547
17,399864,412,254323,555,171011,141,135272,107,128960
17,502642,10,418890,80,113812,126,66220,122,60855
33,423605,105,204571,154,63643,36,52814,517,42219
42,125876,103,95753,8,91607,55,56337,99,54154
107,196398,64,163408,99,122095,412,93247,555,72108
77,265270,33,167775,29,97160,235,95558,14,94307
412,32147,62,29700,99,26013,51,26001,238,25044
121,154784,45,130366,48,65987,24,56186,54,55295
157,252551,238,196907,41,191423,517,127445,126,119539
35,401005,28,172843,141,112458,142,96890,245,92435
55,269403,268,158906,84,73684,39,61142,120,50586
254,301121,119,112196,245,39549,104,22735,76,21008
157,195562,55,179123,29,154856,67,88736,8,80601
145,152387,41,113053,412,102477,102,95914,51,81321
67,217924,21,176301,236,157563,81,125914,51,118191
131,35371,99,33841,517,23357,157,22242,55,21240
412,470478,26,139538,64,72323,432,46015,121,38127
64,153819,67,145805,157,107686,238,69196,145,60533
157,358587,164,209634,55,149263,122,123971,777,102301
11,66249,238,64499,99,56814,157,39434,222,27078
119,114329,39,105976,64,96636,62,74492,41,70938
41,400558,104,159762,82,141264,112,124247,164,103415
107,296199,121,132361,64,90252,28,77869,154,76629
67,393722,145,231906,81,155254,202,133815,64,116299
61,397106,69,367786,134,250016,13,177081,142,137035
9,90755,28,77187,41,39251,60,37230,36,31364
875,220223,157,215904,161,81825,81,78662,69,64920
55,189634,157,105862,238,83294,64,76374,67,47556
24,108104,238,58344,107,54722,11,53388,81,50764
92,892338,157,224202,64,183209,41,137888,55,98392
34,402346,21,171128,29,155628,245,139377,202,132803
412,151316,19,128155,141,125600,555,112258,497,111811
101,182077,142,176763,81,174234,3,150978,64,131645
81,199481,145,183614,555,152861,498,130339,98,116950
