Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
24,133871,81,108497,17,90502,15,87168,22,63949
141,73291,157,56774,91,46234,121,43036,875,41848
50,135881,80,89437,99,74892,412,73404,43,66111
105,190717,29,87881,91,61109,92,51258,55,44507
131,124816,45,120399,69,63335,157,59345,84,57321
29,105912,555,43280,18,26096,39,24967,14,22025
99,294935,51,214594,518,163690,202,158009,17,152077
555,382573,21,348173,16,40123,111,35825,222,31805
86,107371,54,105355,113,78838,59,71082,45,61458
26,1091724,63,204022,40,173250,25,148587,104,85845
21,188879,99,103931,119,97211,17,76776,81,63278
84,112049,21,104346,18,77463,103,60812,16,55990
103,60279,58,44424,1,43740,59,41007,412,28905
84,32351,498,27169,555,25072,27,22093,122,21635
157,244072,245,128999,238,120984,141,64392,91,39142
19,77294,238,52710,106,40014,234,34096,56,26060
133,68058,6,65796,58,64901,29,64582,254,58456
104,278516,107,173568,106,47071,14,35518,105,25213
80,428206,161,138268,99,52015,83,36924,875,33414
157,154517,777,40016,105,31711,45,31425,141,27293
498,210905,39,206716,84,180313,99,108935,37,100109
202,78065,81,67894,39,67591,99,55153,1,50227
64,82655,412,69215,121,60878,59,50784,875,48392
141,178459,9,119409,131,92425,121,67202,222,44078
157,167486,238,163005,86,87405,51,87330,254,62831
202,231898,81,184296,498,154117,222,102546,99,87943
10,90724,77,77639,20,37197,120,31900,164,27006
245,163790,55,155259,84,102692,102,96711,114,74313
350,359799,516,214078,99,154322,235,62840,72,24819
498,140285,523,111053,18,110589,10,87385,15,75508
157,157566,555,65899,4,58150,266,56458,86,52902
84,252116,114,104479,222,103974,39,84764,10,65232
350,105332,18,96434,29,76324,67,61227,23,53232
67,73145,29,30480,39,28732,238,25371,63,22451
121,348124,11,65871,141,56093,254,25212,222,23148
141,46575,516,44969,19,37662,150,33610,517,25891
245,190781,222,177986,268,154551,84,144345,498,137086
84,336530,157,176466,81,169570,145,144292,202,65439
142,419587,45,148193,518,143147,103,121519,17,116224
120,219740,11,157916,24,49816,234,39369,19,35435
222,133865,122,99778,22,73338,145,68819,23,63276
245,179593,51,120471,67,110696,150,85722,523,71339
555,62128,235,60908,202,53467,81,52268,157,40050
55,349120,517,123346,51,66182,48,65827,101,56422
164,138643,92,120663,114,112872,245,70975,238,60048
164,412864,21,62330,517,57087,222,56679,254,55453
157,154491,39,69569,82,56092,11,50620,234,47581
45,144001,32,107448,222,93762,58,71426,202,68196
221,225033,99,167273,21,139058,17,51269,25,39644
51,209512,412,178918,3,152625,45,130522,58,99437
84,185004,98,151995,82,61966,131,56557,99,53367
141,116861,86,51656,202,34759,122,28664,106,25922
145,172978,67,123044,82,122592,77,121466,222,106061
89,62521,20,38640,63,37853,99,30075,19,23129
157,447394,245,207393,36,75212,84,63190,141,62807
24,230688,62,181122,64,87729,36,43750,85,43109
526,469048,143,296581,154,157072,518,112208,54,94936
84,298197,555,115595,91,104568,360,99498,254,96646
99,400036,3,221330,103,155899,63,44838,5,32830
432,175832,99,167740,412,159976,223,156173,161,145593
21,587625,53,145532,51,129199,81,125319,145,65290
28,435059,40,181599,25,142472,20,123422,16,115153
81,217402,51,116516,21,113776,222,68260,202,68247
45,132938,21,109500,19,41723,63,23817,96,22781
157,385499,141,185342,11,168655,245,95984,122,79413
19,117112,24,111524,78,89996,22,56706,51,54686
