,Main Champion,Champion,Mastery
11,Jhin,Caitlyn,0.0074270703622268865
9,Jinx,Ezreal,0.011896509003600286
10,Jinx,Kaisa,0.014516541327649181
11,Jinx,Vayne,0.014911378354725228
9,Kaisa,Ezreal,0.002554141783291727
10,Kaisa,Vayne,0.005096201556793171
11,Kaisa,Lucian,0.006431009671289536
9,Kalista,Ezreal,0.06871769172183662
10,Kalista,Vayne,0.08835597127217215
11,Kalista,Kaisa,0.10449077723517664
9,Karma,Ezreal,0.0348093257417712
10,Karma,Ashe,0.03631779264136427
11,Karma,MissFortune,0.04401188208214652
9,Karthus,Ezreal,0.04238429826392106
10,Karthus,Caitlyn,0.07864320920529906
11,Karthus,Lucian,0.08573649448879811
9,Kassadin,Ezreal,0.030098773846130113
10,Kassadin,Lucian,0.03257292734680629
11,Kassadin,Vayne,0.04040419030719639
9,Katarina,Vayne,0.004363789631673938
10,Katarina,Ezreal,0.0048312195581259225
11,Katarina,Kaisa,0.006227206055063093
9,Kayle,Vayne,0.04633909420788765
10,Kayle,Kaisa,0.0481112915659198
11,Kayle,Ezreal,0.049120563559498544
9,Kayn,Ezreal,0.004347765073528357
10,Kayn,Jhin,0.004939946428884063
11,Kayn,Kaisa,0.008451894194471059
9,Kennen,Ezreal,0.05432022945464285
10,Kennen,Jhin,0.09474779372291409
11,Kennen,Lucian,0.11867227241554415
9,Khazix,Ezreal,0.011297671548559677
10,Khazix,Lucian,0.014573358515567708
11,Khazix,Vayne,0.017231155278127235
9,Kindred,Ezreal,0.030981940014581568
10,Kindred,Vayne,0.04239420616018248
11,Kindred,Kaisa,0.05197122852210001
9,Kled,Jhin,0.04219245052046282
10,Kled,Ezreal,0.043615008344369134
11,Kled,Lucian,0.06787180383752033
9,KogMaw,Twitch,0.11621429014060557
10,KogMaw,Ezreal,0.1244338100104929
11,KogMaw,Vayne,0.14737556471301091
9,Leblanc,Ezreal,0.008296613388610185
10,Leblanc,Lucian,0.01217538757279687
11,Leblanc,Vayne,0.01807155567970082
9,LeeSin,Ezreal,0.0012325830693167017
10,LeeSin,Lucian,0.001952614962161086
11,LeeSin,Vayne,0.0020221014340757394
9,Leona,Ezreal,0.016822080921523996
10,Leona,MissFortune,0.02118395335049367
11,Leona,Caitlyn,0.021447462954638466
9,Lillia,Ezreal,0.06647804703750831
10,Lillia,MissFortune,0.11511871213429509
11,Lillia,Jhin,0.11728780134533816
9,Lissandra,Ezreal,0.06579028560673396
10,Lissandra,Lucian,0.10514512467538102
