,Main Champion,Champion,Mastery
12,Jinx,Lux,0.009046846480054355
13,Jinx,Thresh,0.011408961959099233
14,Jinx,Senna,0.01735339072003395
12,Kaisa,Senna,0.002987640145775957
13,Kaisa,Thresh,0.004602611480957217
14,Kaisa,Lux,0.00699101779700062
12,Kalista,Thresh,0.0786567443056669
13,Kalista,Senna,0.08659634142855926
14,Kalista,Pyke,0.13559667595946795
12,Karma,Morgana,0.05307741156673538
13,Karma,Lulu,0.055352601011493995
14,Karma,Leona,0.09327476678585063
12,Karthus,Thresh,0.08310472450409657
13,Karthus,Xerath,0.10165344668448063
14,Karthus,Blitzcrank,0.10377454493407917
12,Kassadin,Xerath,0.039391969765312805
13,Kassadin,Pantheon,0.05638739318982651
14,Kassadin,Lux,0.05839434508330697
12,Katarina,Lux,0.004334587889739038
13,Katarina,Pyke,0.005538128661256085
14,Katarina,Thresh,0.00615915333329809
12,Kayle,Senna,0.040314817661975144
13,Kayle,Lux,0.04977548091367838
14,Kayle,Pantheon,0.06852445282831379
12,Kayn,Pyke,0.004462895280982724
13,Kayn,Pantheon,0.0077699980255741645
14,Kayn,Thresh,0.007837797554717035
12,Kennen,Blitzcrank,0.13538772513563643
13,Kennen,Alistar,0.18411753534243033
14,Kennen,Zilean,0.18952078531945799
12,Khazix,Pyke,0.018367354717510734
13,Khazix,Thresh,0.018847446288896567
14,Khazix,Morgana,0.02140690555851853
12,Kindred,Pantheon,0.0455569509251024
13,Kindred,Senna,0.04556924541589349
14,Kindred,Pyke,0.055898955148649634
12,Kled,Pyke,0.03940697356313748
13,Kled,Pantheon,0.05492834003383861
14,Kled,Blitzcrank,0.06150419957885912
12,KogMaw,Blitzcrank,0.10464953224569913
13,KogMaw,Senna,0.13722209906022165
14,KogMaw,Brand,0.1556523494371635
12,Leblanc,Thresh,0.017468938138027083
13,Leblanc,Lux,0.017627657954967412
14,Leblanc,Blitzcrank,0.019398425641932383
12,LeeSin,Thresh,0.001568543553501176
13,LeeSin,Blitzcrank,0.0023228373015438857
14,LeeSin,Pyke,0.003891761145435924
12,Leona,Nautilus,0.025051644107816334
13,Leona,Blitzcrank,0.032275878824390286
14,Leona,Thresh,0.03754361111892426
12,Lillia,Pantheon,0.09457297016452258
13,Lillia,Senna,0.09506375149971244
14,Lillia,Lux,0.10337218980021459
12,Lissandra,Lux,0.10175825275314927
13,Lissandra,Thresh,0.10350783253898346
14,Lissandra,Lulu,0.11384453476857667
12,Lucian,Thresh,0.009968390752600965
13,Lucian,Senna,0.011213710565968923
14,Lucian,Blitzcrank,0.016189069422378754
12,Lulu,Nami,0.01610571977052827
13,Lulu,Yuumi,0.019112894686847955
14,Lulu,Lux,0.021260885250876906
12,Lux,Morgana,0.005103692403105753
13,Lux,Soraka,0.008828078304852162
14,Lux,Nami,0.012511343211658078
12,Malphite,Blitzcrank,0.02929794277691119
13,Malphite,Lux,0.04577694263638111
14,Malphite,Leona,0.05555618717244622
12,Malzahar,Lux,0.04008408827819373
13,Malzahar,Morgana,0.05941784870584978
14,Malzahar,Xerath,0.08493976556142076
12,Maokai,Pantheon,0.13271262381200086
13,Maokai,Lulu,0.13300536513213196
14,Maokai,Leona,0.13604547503469214
12,MasterYi,Blitzcrank,0.007896929577968687
13,MasterYi,Pyke,0.008354031128396378
14,MasterYi,Lux,0.010584830057346372
12,MissFortune,Lux,0.008170986024237385
13,MissFortune,Morgana,0.015086549707133709
