,Main Champion,Champion,Mastery
8,Jinx,Veigar,0.017735890376100134
6,Kaisa,Yasuo,0.0032390398466086126
7,Kaisa,Sylas,0.0057927259136783486
8,Kaisa,Zed,0.0072710862379996456
6,Kalista,Yasuo,0.0585824624043489
7,Kalista,Orianna,0.15054929147235852
8,Kalista,Sylas,0.18936553205317874
6,Karma,Ahri,0.06031930581633406
7,Karma,Galio,0.06398165853587695
8,Karma,Orianna,0.06892542782199194
6,Karthus,Veigar,0.09402982775868758
7,Karthus,Yasuo,0.0943666321481253
8,Karthus,TwistedFate,0.10251539474712364
6,Kassadin,TwistedFate,0.0646252511604929
7,Kassadin,Zed,0.06603877518836493
8,Kassadin,Yasuo,0.07276449354658984
6,Katarina,Yasuo,0.003506480206407977
7,Katarina,Zed,0.005631380545702734
8,Katarina,Leblanc,0.019871800975817
6,Kayle,Yasuo,0.0692621786892098
7,Kayle,Sylas,0.08423970820500376
8,Kayle,Yone,0.08492913497586559
6,Kayn,Yasuo,0.003201784223668512
7,Kayn,Zed,0.005741835740918824
8,Kayn,Sylas,0.007878925397603327
6,Kennen,Sylas,0.12791774606051706
7,Kennen,Yasuo,0.132655368671345
8,Kennen,Vladimir,0.14733241975744432
6,Khazix,Yasuo,0.00969902031707286
7,Khazix,Zed,0.013680184977545232
8,Khazix,Sylas,0.02193767093805028
6,Kindred,Yasuo,0.042417488707771206
7,Kindred,Sylas,0.05066226322552887
8,Kindred,Katarina,0.07233041666781218
6,Kled,Yasuo,0.045308239626866344
7,Kled,Sylas,0.051906101586821435
8,Kled,Vladimir,0.061443604578971724
6,KogMaw,Ryze,0.1049577596988128
7,KogMaw,Veigar,0.1346008060858081
8,KogMaw,Yasuo,0.15351160790551505
6,Leblanc,Zed,0.0231652972952387
7,Leblanc,Yasuo,0.025186148137772185
8,Leblanc,Syndra,0.03794580895099185
6,LeeSin,Yasuo,0.0014268076158483465
7,LeeSin,Zed,0.0017938114432496709
8,LeeSin,Sylas,0.0032640679745856304
6,Leona,Veigar,0.02565090312267812
7,Leona,Galio,0.026649575322899733
8,Leona,Yasuo,0.03165748995675218
6,Lillia,Sylas,0.1054762144259396
7,Lillia,Yone,0.1189115367222856
8,Lillia,Yasuo,0.1350538681211852
6,Lissandra,Orianna,0.10434967947954749
7,Lissandra,Viktor,0.1378770340826139
8,Lissandra,Ahri,0.14616029204039468
6,Lucian,Yasuo,0.007997688649548147
7,Lucian,Zed,0.012494420344230601
8,Lucian,Sylas,0.02086436896814658
6,Lulu,Ahri,0.011298715918223104
7,Lulu,Annie,0.019192224917769878
8,Lulu,Veigar,0.021809496974671636
6,Lux,Ahri,0.002682891288145254
7,Lux,Neeko,0.004539722699567817
8,Lux,Veigar,0.0056107219481267975
6,Malphite,Veigar,0.034829607043218476
7,Malphite,Yasuo,0.03616679742496343
8,Malphite,Galio,0.04716462022389957
6,Malzahar,Veigar,0.05131435706147681
7,Malzahar,Yasuo,0.08484860882955692
