,Main Champion,Champion,Mastery
3,Jinx,MasterYi,0.01221188823303901
4,Jinx,LeeSin,0.012291195356829536
5,Jinx,Graves,0.01664373597724122
3,Kaisa,LeeSin,0.0032393624118834136
4,Kaisa,Graves,0.005262923818656779
5,Kaisa,Ekko,0.0059853545423942086
3,Kalista,LeeSin,0.07754641612262958
4,Kalista,Nidalee,0.10254160831741882
5,Kalista,Graves,0.1159393432247001
3,Karma,Poppy,0.08017649430585332
4,Karma,LeeSin,0.08414439643101226
5,Karma,Diana,0.10599324247079635
3,Karthus,LeeSin,0.07900458339870961
4,Karthus,Graves,0.11877585970465167
5,Karthus,Shaco,0.17645845152562228
3,Kassadin,LeeSin,0.043863295974681735
4,Kassadin,Ekko,0.048272503559674364
5,Kassadin,Graves,0.04858095785078913
3,Katarina,LeeSin,0.005074891227777235
4,Katarina,MasterYi,0.0068295383419460605
5,Katarina,Ekko,0.007110678394811086
3,Kayle,MasterYi,0.051786107591760444
4,Kayle,Graves,0.05595297371063624
5,Kayle,Kayn,0.09454856965570896
3,Kayn,MasterYi,0.009054486372945526
4,Kayn,LeeSin,0.010662113172759531
5,Kayn,Ekko,0.01160722877244702
3,Kennen,LeeSin,0.09380771572544352
4,Kennen,Diana,0.15795096764544173
5,Kennen,MonkeyKing,0.19278067960037942
3,Khazix,Kayn,0.016256638098585498
4,Khazix,LeeSin,0.018656390252712082
5,Khazix,MasterYi,0.027546621725091487
3,Kindred,LeeSin,0.0712176035774406
4,Kindred,Graves,0.07325265866702635
5,Kindred,Kayn,0.08337152629515397
3,Kled,Kayn,0.05366639487949378
4,Kled,Ekko,0.06564846055765604
5,Kled,LeeSin,0.07187994669588359
3,KogMaw,MasterYi,0.08557208295573501
4,KogMaw,Shaco,0.1767922488164086
5,KogMaw,LeeSin,0.230491930287963
3,Leblanc,LeeSin,0.009404977421342942
4,Leblanc,Ekko,0.016697549331029193
5,Leblanc,Nidalee,0.02788598386552321
3,LeeSin,Graves,0.0025292299470086642
4,LeeSin,Nidalee,0.0034188002577244633
5,LeeSin,Khazix,0.0055523322752166065
3,Leona,MasterYi,0.03259721092745784
4,Leona,LeeSin,0.035166547589517844
5,Leona,Warwick,0.042694681559796346
3,Lillia,Graves,0.14170466414939073
4,Lillia,LeeSin,0.14186092871567788
5,Lillia,Poppy,0.18050394408643988
3,Lissandra,LeeSin,0.1003844662836761
4,Lissandra,Diana,0.13313460967781204
5,Lissandra,Ekko,0.1359896732934634
3,Lucian,LeeSin,0.006884931616898339
4,Lucian,Graves,0.00941126645146845
5,Lucian,Ekko,0.02095579973835505
3,Lulu,LeeSin,0.02349696813728508
4,Lulu,Nidalee,0.02467637098328404
5,Lulu,Evelynn,0.02976241259029636
3,Lux,Evelynn,0.005933656413605856
4,Lux,Diana,0.007575593447991361
5,Lux,MasterYi,0.007635835661024894
3,Malphite,MasterYi,0.03891644484666062
4,Malphite,LeeSin,0.05207194162968605
5,Malphite,Warwick,0.07078548527074345
3,Malzahar,MasterYi,0.05639346056759625
4,Malzahar,Karthus,0.06778223208801586
5,Malzahar,Fiddlesticks,0.06878019442572178
3,Maokai,LeeSin,0.07712927191493482
4,Maokai,Warwick,0.11250146823165552
5,Maokai,Poppy,0.15198091767296476
3,MasterYi,Kayn,0.008616138922430303
4,MasterYi,LeeSin,0.01061853879178841
5,MasterYi,Warwick,0.01571178936356913
3,MissFortune,MasterYi,0.01418626254057559
4,MissFortune,Warwick,0.02619117103672408
5,MissFortune,Diana,0.026968387316752915
3,MonkeyKing,LeeSin,0.041397675722966626
4,MonkeyKing,MasterYi,0.0909817058076104
5,MonkeyKing,Diana,0.09336122855891646
3,Mordekaiser,Kayn,0.026321040087465948
4,Mordekaiser,MasterYi,0.04053953738364771
5,Mordekaiser,Viego,0.05874274667453646
3,Morgana,MasterYi,0.022047882015465467
4,Morgana,Warwick,0.02672253495348188
5,Morgana,Fiddlesticks,0.032075081799849366
3,Nami,Evelynn,0.029875679976289853
4,Nami,Nidalee,0.0343118706123185
5,Nami,LeeSin,0.03774560225293549
3,Nasus,MasterYi,0.036242016481631834
4,Nasus,Kayn,0.045076706573958826
5,Nasus,Warwick,0.0462719419586917
3,Nautilus,LeeSin,0.049823134147555466
4,Nautilus,JarvanIV,0.05168308346291323
5,Nautilus,MasterYi,0.06331679523032661
3,Neeko,Lillia,0.051315520514326946
4,Neeko,Diana,0.05463651667947537
5,Neeko,Ekko,0.05611670741242486
3,Nidalee,LeeSin,0.013121939469783123
4,Nidalee,Graves,0.0209943165772233
5,Nidalee,Elise,0.07582127297682752
3,Nocturne,LeeSin,0.0922996311298317
4,Nocturne,MasterYi,0.0984742166438915
5,Nocturne,Ekko,0.10140075402830177
3,Nunu,Kayn,0.050021214516185145
4,Nunu,Zac,0.055656496273783405
5,Nunu,Warwick,0.06220620605348539
3,Olaf,LeeSin,0.10535643642593023
4,Olaf,MasterYi,0.2253276018052241
5,Olaf,Ekko,0.2267920494379295
